Date,Open,High,Low,Close,Volume From,Volume To
27-09-2017,3880.73,4234.26,3879,4202,6990.82,28524464.14
28-09-2017,4202,4278,4110,4190.01,6198,26004536.4
29-09-2017,4190.01,4245,4010.1,4168.07,5877.59,24262009.8
30-09-2017,4168.07,4390,4164,4365,3719.7,16027819.75
01-10-2017,4365,4421,4255.51,4412.79,2998.23,12989541.58
02-10-2017,4412.79,4487,4358,4401,3720.45,16448630.64
03-10-2017,4401,4434.01,4216,4308.88,4091.63,17576327.91
04-10-2017,4308.88,4350.84,4173.31,4213.3,2862.53,12134432.38
05-10-2017,4213.3,4368.59,4131,4317.07,3304.73,14069104.42
06-10-2017,4317.07,4423.75,4298.32,4371.64,2212.4,9663683.94
07-10-2017,4371.64,4480,4314,4440,2869.74,12540675.85
08-10-2017,4440,4633.39,4420.72,4611,4341.02,19725509.29
09-10-2017,4611,4888,4553.13,4787.66,6046.93,28512406
10-10-2017,4787.66,4939.13,4714.83,4770,4556.88,22015201.53
11-10-2017,4770,4875.48,4720,4820,2357.87,11326143.85
12-10-2017,4820,5444.37,4820,5441.55,8165.1,42412144.44
13-10-2017,5441.55,5862,5385.6,5646.63,11605.08,65474594.62
14-10-2017,5646.63,5850,5560.18,5832.73,3567.27,20346092.27
15-10-2017,5832.73,5880.87,5434.14,5715,6572.32,36755074
16-10-2017,5715,5800,5565,5765,5497.55,31234581.49
17-10-2017,5765,5780.11,5512.68,5609.39,4285.58,24070557.58
18-10-2017,5609.39,5609.39,5100,5563,7989.88,42728638.5
19-10-2017,5563,5737.91,5495.87,5696.65,3978.15,22467810.14
20-10-2017,5696.65,6095,5600.09,5992,5368.23,31671110.6
21-10-2017,5992,6180,5865,6009.34,5597.02,33916718.48
22-10-2017,6009.34,6070,5707.36,5963.68,4998.38,29397655.89
23-10-2017,5963.68,6059,5500,5900,6774.53,39264109.49
24-10-2017,5900,5900,5460,5508.76,7083.69,39942309.39
25-10-2017,5508.76,5745,5362.39,5709.31,4282.43,23695905.62
26-10-2017,5709.31,5968,5669.1,5880,4195.15,24489995.61
27-10-2017,5880,5999,5683.18,5756.51,3102.75,18054468.29
28-10-2017,5756.51,5870.32,5641,5719,1931.7,11070228.5
29-10-2017,5719,6248.63,5670,6155,5545.15,33176735.61
30-10-2017,6155,6246.08,6004.4,6125,2862.98,17545716.86
31-10-2017,6125,6475.44,6091.09,6450.02,3829.37,24118456.12
01-11-2017,6450.02,6739.79,6351,6739.79,4721.9,30821269.44
02-11-2017,6739.79,7281.43,6607.3,7025,10748.35,74401788.91
03-11-2017,7025,7438.63,6921.24,7124.36,5919.59,42603430.78
04-11-2017,7124.36,7440,6864.16,7366,5099.93,36762707.58
05-11-2017,7366,7599,7250.3,7379.17,4322.23,32231637.4
06-11-2017,7379.17,7420,6908.51,6929.97,6588.71,47092577.36
07-11-2017,6929.97,7251,6929.97,7084.87,4117.55,29114065.74
08-11-2017,7084.87,7771,7000,7410,9304.06,68447769.29
09-11-2017,7410,7442,6955.48,7020,6184.85,44561094.13
10-11-2017,7020,7277.39,6315,6543.2,13449.77,90827394.14
11-11-2017,6543.2,6800,6150,6300,12817.55,82349719.45
12-11-2017,6300,6549,5151,5835,28336.76,170040869.6
13-11-2017,5835,6701.99,5773.22,6475.78,18072.32,113649124.7
