Date,Open,High,Low,Close,Volume From,Volume To
27-09-2017,93.7,104.83,93.25,102.5,19722.72,1950171.5
28-09-2017,102.5,102.75,96.41,98.18,14371.93,1436469.55
29-09-2017,98.18,99,89.38,95,16437.47,1543779.8
30-09-2017,95,97,94.41,96.05,4464.33,428391.21
01-10-2017,96.05,96.49,91.82,93.38,3673.75,344569.47
02-10-2017,93.38,94.19,91,91.77,5097.12,470119.26
03-10-2017,91.77,94.9,87,93.27,7733.92,698026.71
04-10-2017,93.27,94.36,88.05,89.96,4826.45,440790.4
05-10-2017,89.96,92.1,87.22,91.65,5488.4,493921.82
06-10-2017,91.65,93.2,90.06,91.13,4460.69,407872.98
07-10-2017,91.13,92.49,89.53,91.5,4839.27,440915.4
08-10-2017,91.5,92.29,90,90,4415.3,401865.02
09-10-2017,90,90.39,83.3,85.17,8989.58,787057.53
10-10-2017,85.17,88.55,84,86.85,6236,539839.56
11-10-2017,86.85,88.5,85.56,87.48,2867.25,250384.34
12-10-2017,87.48,89.5,86.55,87.39,8359.12,733790.81
13-10-2017,87.39,97.08,85.2,94.86,25381.8,2318650.99
14-10-2017,94.86,103.65,93.5,99.73,13091.86,1257699.84
15-10-2017,99.73,101.02,91.07,94.46,12125.55,1161243.69
16-10-2017,94.46,98.9,93,95.71,6773.53,648230.35
17-10-2017,95.71,97,90.09,90.88,7451.14,699265.25
18-10-2017,90.88,91.98,85,89,6812.77,598199.77
19-10-2017,89,92.74,87.45,88.25,5390.65,482610.57
20-10-2017,88.25,93,87.8,90.32,5194.66,472331.23
21-10-2017,90.32,90.51,85.81,87.74,5140.83,450354.16
22-10-2017,87.74,89,85,86.4,4070.37,351718.12
23-10-2017,86.4,87.5,81.6,85.5,4797.79,405166.71
24-10-2017,85.5,92,82.42,87.75,7645.05,674668.41
25-10-2017,87.75,95,85,87.9,14871.33,1330291.99
26-10-2017,87.9,89.41,87,88.8,2725.66,240816.61
27-10-2017,88.8,89,86.1,86.1,4591.75,399961.06
28-10-2017,86.1,87.45,85.07,86.07,2177.54,187680.29
29-10-2017,86.07,89.97,85.27,88.5,3860.47,340716.35
30-10-2017,88.5,91,87.8,88.89,3063.81,273568.84
31-10-2017,88.89,89.41,87.25,87.5,2521.72,222970.89
01-11-2017,87.5,88.27,84.34,86,4542.06,390114.82
02-11-2017,86,86,80,82.92,14128.26,1169028.44
03-11-2017,82.92,89.4,82.92,87.25,11184,959505.96
04-11-2017,87.25,87.99,84.5,87,3798.91,327012.52
05-11-2017,87,89.16,85.73,86.29,5696.97,495444.93
06-11-2017,86.29,102,85.7,102,30332.82,2895130.28
07-11-2017,102,104,93.13,98.39,29109.73,2887653.25
08-11-2017,98.39,115,98.23,112.4,17774.7,1858155.99
09-11-2017,112.4,123,110.74,118,24618.76,2881761.88
10-11-2017,118,120.7,99.25,104.54,35204.47,3809063.35
11-11-2017,104.54,129.1,102.25,119.16,34959.91,4069632.88
12-11-2017,119.16,135,107.66,124.5,51074.34,6160388.34
13-11-2017,124.5,134.5,117.03,122.26,36424.01,4533392.58
14-11-2017,122.26,123.24,116.4,121.33,9982.85,1202232.91
15-11-2017,121.33,124,117.5,120.99,9777.16,1179594.15
16-11-2017,120.99,127.79,118.01,120.01,15601.4,1905299.07
17-11-2017,120.01,126.5,118.33,126.5,12578.83,1543134.3
18-11-2017,126.5,135,122.73,131.07,16514.23,2133001.72
19-11-2017,131.07,134,125.5,129.66,6576.66,854778.38
20-11-2017,129.66,141.83,128.5,136.75,10835.82,1480681.43
21-11-2017,136.75,142.91,131.1,142,13936.1,1920927.66
22-11-2017,142,173.37,140.45,165,31123.15,4839942.33
23-11-2017,165,173.67,153,159,20250.98,3280639.43
24-11-2017,159,162.09,154.5,158.92,13713.88,2170899.11
25-11-2017,158.92,169.5,157.8,168.2,14870.34,2446306.73
26-11-2017,168.2,168.2,157,162.5,9900.13,1590662.59
27-11-2017,162.5,173,157.87,173,14133.41,2321777.16
28-11-2017,173,196.82,170.1,196.66,30333.98,5559384.99
29-11-2017,196.66,208.5,150.96,165.49,48345.34,8867464.44
30-11-2017,165.49,189.42,151,175.03,31736.52,5316810.14
01-12-2017,175.03,188.6,165.77,185.66,15392.26,2753619.99
02-12-2017,185.66,203,183.63,201,13852.61,2655853.05
03-12-2017,201,207.07,184.49,195.88,21619.78,4328857.32
04-12-2017,195.88,208.55,188.5,208.55,9220.83,1830518.2
05-12-2017,208.55,248,206.12,247.48,27585.63,6263079.49
06-12-2017,247.48,285.04,242.52,254.48,48020.14,12641525.16
07-12-2017,254.48,277.9,225.68,259.78,23204.43,5776652.01
08-12-2017,259.78,268.94,230.01,261.13,13663.32,3440955.49
09-12-2017,261.13,270,238.61,256.1,12222.95,3168106.89
10-12-2017,256.1,256.1,214.04,241.22,11187.91,2640528.24
11-12-2017,241.22,275,238.67,272.36,10002.11,2607088.33
12-12-2017,272.36,305,270.52,291.81,13483.7,3854314.31
13-12-2017,291.81,321.25,274.41,293.58,19571.57,5819955.53
14-12-2017,293.58,320.66,290,318.4,13125.48,4058973.25
15-12-2017,318.4,319.99,290,310.2,6943.29,2118978.12
16-12-2017,310.2,329.29,307.57,321,8034.78,2571231.05
17-12-2017,321,359.6,320.5,344,14448.34,4955573.02
18-12-2017,344,375,319,372.5,12505.05,4335463.92
19-12-2017,372.5,392.84,325,358,18500.61,6614675.32
20-12-2017,358,478,315,475,30750.84,12394568.84
21-12-2017,475,475,370,405,15085.86,6299984.7
22-12-2017,405,411.83,242.5,317,42922.16,13373609.9
23-12-2017,317,380,312.22,339.5,12051.95,4304207.83
24-12-2017,339.5,350.44,281,326,13192.65,4104773.15
25-12-2017,326,350,312,330.28,3730.38,1237236.49
26-12-2017,330.28,362.25,330,356.52,6265.31,2198216.43
27-12-2017,356.52,409.3,342.14,374,9529.82,3543473.14
28-12-2017,374,376.6,322.88,348.91,8264.6,2825252.2
29-12-2017,348.91,367.61,334.84,350,8906.48,3143293.85
30-12-2017,350,352.7,287,304,13413.27,4195288.48
31-12-2017,304,340.13,299.25,331.83,3610.68,1167159.08
01-01-2018,331.83,344.8,314.5,335.1,4447.34,1479742.85
02-01-2018,335.1,370.48,335.1,364.17,10761.86,3835064.19
