,BTC,XRP,EOS,XLM,LTC,ETH,XMR,DASH,NEO,ETC
2017-08-05 05:30:00,3262.8,0.1848,1.86,0.02381,46.24,253.09,48.6,192.0,14.12,15.57
2017-08-06 05:30:00,3232.03,0.1802,1.76,0.02283,45.56,264.56,47.92,188.77,15.97,15.57
2017-08-07 05:30:00,3401.91,0.1782,1.83,0.0223,46.11,269.94,50.16,196.64,19.49,15.29
2017-08-08 05:30:00,3429.38,0.1967,1.86,0.02378,49.13,296.51,51.96,203.31,18.25,16.05
2017-08-09 05:30:00,3348.79,0.1841,1.82,0.023,47.78,295.28,51.08,198.94,22.6,15.34
2017-08-10 05:30:00,3425.67,0.1809,1.84,0.02207,46.97,298.28,49.39,201.01,37.6,15.21
2017-08-11 05:30:00,3654.37,0.1778,1.76,0.02166,47.11,309.32,50.54,205.66,34.1,15.16
2017-08-12 05:30:00,3871.62,0.1716,1.65,0.02005,46.27,308.02,49.5,204.29,37.72,14.65
2017-08-13 05:30:00,4062.6,0.1657,1.59,0.01827,45.49,296.62,47.69,196.9,48.5,14.12
2017-08-14 05:30:00,4327.94,0.1683,1.61,0.01776,45.7,299.16,49.91,198.74,48.32,13.98
2017-08-15 05:30:00,4161.66,0.1577,1.62,0.01738,43.17,286.52,48.7,202.64,47.5,13.42
2017-08-16 05:30:00,4387.4,0.1603,1.59,0.01774,43.97,301.38,48.63,231.08,45.99,14.08
2017-08-17 05:30:00,4278.92,0.1578,1.52,0.01728,43.83,300.3,47.26,234.74,40.39,13.83
2017-08-18 05:30:00,4105.37,0.1569,1.4,0.01675,46.74,292.62,46.6,222.63,38.88,13.44
2017-08-19 05:30:00,4150.45,0.1526,1.39,0.01649,45.19,293.02,55.52,286.58,39.82,13.51
2017-08-20 05:30:00,4066.6,0.1587,1.36,0.0177,45.81,298.2,54.95,291.51,38.5,13.76
2017-08-21 05:30:00,4005.1,0.1958,1.33,0.01955,48.09,321.85,77.74,281.22,35.46,14.66
2017-08-22 05:30:00,4089.7,0.2421,1.27,0.02153,46.4,313.37,90.77,291.76,35.6,14.41
2017-08-23 05:30:00,4141.09,0.2457,1.42,0.02011,53.44,317.4,90.42,292.46,39.88,15.28
2017-08-24 05:30:00,4318.35,0.2173,1.37,0.01908,50.36,325.28,86.16,313.34,41.9,15.13
2017-08-25 05:30:00,4364.41,0.2167,1.37,0.02059,51.09,330.06,108.01,314.96,40.31,15.15
2017-08-26 05:30:00,4352.3,0.2097,1.36,0.02125,51.58,332.86,137.65,396.74,38.82,15.28
2017-08-27 05:30:00,4345.75,0.2017,1.34,0.0199,61.08,347.88,130.74,362.9,40.0,16.01
2017-08-28 05:30:00,4390.31,0.2252,1.33,0.02061,62.36,347.66,144.99,356.56,38.5,15.74
2017-08-29 05:30:00,4597.31,0.2199,1.32,0.02005,63.76,372.35,133.21,360.1,33.3,15.93
2017-08-30 05:30:00,4583.02,0.2319,1.25,0.02115,65.97,383.86,133.7,371.61,33.33,15.96
2017-08-31 05:30:00,4735.11,0.2593,1.34,0.02249,73.03,388.33,141.02,380.77,33.06,16.78
2017-09-01 05:30:00,4921.85,0.2529,1.32,0.02412,87.88,391.42,142.84,395.46,31.8,22.42
2017-09-02 05:30:00,4573.8,0.2252,1.24,0.0204,79.18,351.03,123.15,348.09,31.35,19.88
2017-09-03 05:30:00,4612.92,0.2303,1.3,0.02138,79.04,352.45,126.18,356.27,30.81,19.18
2017-09-04 05:30:00,4267.45,0.2045,0.9142,0.01762,68.89,303.7,105.29,313.65,21.81,16.44
2017-09-05 05:30:00,4409.08,0.2168,0.923,0.01868,73.73,317.94,118.9,326.74,23.4,17.08
2017-09-06 05:30:00,4618.71,0.2314,0.9106,0.02038,81.44,338.92,122.74,349.76,21.3,19.26
2017-09-07 05:30:00,4635.6,0.2271,0.9828,0.02029,80.25,335.37,122.18,346.98,30.98,18.51
2017-09-08 05:30:00,4326.45,0.2122,0.8421,0.01829,73.19,306.72,117.33,330.89,25.81,16.75
