Date,Close/Last,Volume,Open,High,Low
05/11/2021,20.87,301357,20.72,20.89,20.5202
05/10/2021,21.21,169244,21.45,21.45,21.17
05/07/2021,21.48,176301,21.29,21.5572,21.29
05/06/2021,21.17,231925,21.23,21.32,20.97
05/05/2021,21.37,755849,21.47,21.6,21.33
05/04/2021,21.15,530494,21.21,21.34,21.07
05/03/2021,21.77,306058,21.97,21.97,21.76
04/30/2021,21.93,222226,22.16,22.23,21.89
04/29/2021,22.34,128823,22.68,22.68,22.21
04/28/2021,22.75,95510,22.85,22.85,22.58
04/27/2021,22.98,135267,22.99,22.99,22.88
04/26/2021,22.96,197450,23.05,23.05,22.8716
04/23/2021,23.03,479587,22.93,23.08,22.86
04/22/2021,22.79,302706,22.73,22.94,22.72
04/21/2021,22.31,89918,21.99,22.32,21.9739
04/20/2021,22.08,152785,22.2155,22.2155,22
04/19/2021,22.26,114582,22.46,22.5,22.2045
04/16/2021,22.49,365035,22.46,22.5,22.37
04/15/2021,22.33,170647,22.5,22.5,22.19
04/14/2021,22.34,146479,22.54,22.54,22.31
04/13/2021,22.54,127567,22.47,22.55,22.3102
04/12/2021,22.4999,160765,22.56,22.56,22.38
04/09/2021,22.72,80146,22.72,22.73,22.57
04/08/2021,22.74,107735,22.53,22.79,22.53
04/07/2021,22.38,234358,22.59,22.6,22.31
04/06/2021,22.61,204188,22.78,22.78,22.53
04/05/2021,22.89,376771,22.85,22.97,22.85
04/01/2021,22.7,343307,22.75,22.7599,22.6
03/31/2021,22.56,346006,22.55,22.59,22.43
03/30/2021,22.11,226376,22.02,22.11,21.9
03/29/2021,22.01,420245,21.91,22.0499,21.77
03/26/2021,21.91,101667,21.56,21.91,21.56
03/25/2021,21.39,154554,21.08,21.39,21.03
03/24/2021,21.24,102376,21.47,21.47,21.21
03/23/2021,21.53,127685,21.71,21.7499,21.506
03/22/2021,21.77,108186,21.57,21.82,21.57
03/19/2021,21.42,58021,21.22,21.4699,21.145
03/18/2021,21.15,105174,21.45,21.45,21.1
03/17/2021,21.62,239603,21.57,21.643,21.38
03/16/2021,21.95,137651,21.95,22.03,21.83
03/15/2021,21.95,154760,21.8,21.95,21.65
03/12/2021,21.78,141448,21.63,21.8099,21.52
03/11/2021,21.85,218007,21.72,21.86,21.5301
03/10/2021,21.19,531948,21.44,21.44,21.12
03/09/2021,21.21,242914,20.81,21.24,20.81
03/08/2021,20.21,206798,20.4,20.44,20.1809
