Date,Close/Last,Volume,Open,High,Low
05/11/2021,60.057,60133,58.2,60.131,58.12
05/10/2021,60,7464,62.23,62.23,59.97
05/07/2021,62.93,9199,62.15,63.3199,62.15
05/06/2021,62.03,36602,61.37,62.095,61.04
05/05/2021,61.84,5253,62.41,62.705,61.335
05/04/2021,61.27,21651,61.59,61.59,60.33
05/03/2021,62.41,12638,64.18,64.18,62.16
04/30/2021,63.3225,13209,64.56,64.56,63.1071
04/29/2021,65.26,7848,65.97,65.97,64.51
04/28/2021,65.56,8648,66.38,66.38,65.25
04/27/2021,66.3,8060,67.97,67.97,66.1837
04/26/2021,67.16,10215,66.56,67.51,66.56
04/23/2021,66.065,62524,64.67,66.28,64.67
04/22/2021,64.44,7921,66.51,66.51,64.2
04/21/2021,65.96,8622,64.28,65.96,63.9235
04/20/2021,63.91,19136,65.26,65.26,63.5401
04/19/2021,64.925,11856,67.69,67.69,64.57
04/16/2021,66.88,5523,66.83,67.4978,66.83
04/15/2021,67.08,12642,67.47,67.47,66.6247
04/14/2021,66.62,10180,66.7,67.6699,66.2329
04/13/2021,66.9599,11230,68.19,68.19,66.345
04/12/2021,67.61,9242,67.66,67.66,67.2
04/09/2021,68.1781,10819,68.53,68.53,67.97
04/08/2021,68.5712,7648,68.94,68.94,67.9078
04/07/2021,68.075,11187,69.2,69.2,67.4958
04/06/2021,68.2354,11627,69.13,69.3868,67.912
04/05/2021,69.25,35603,69.33,69.33,68
04/01/2021,67.12,34285,65.97,67.25,65.97
03/31/2021,64.64,9796,63.78,65.35,63.78
03/30/2021,62.6225,3492,62.44,62.85,62.385
03/29/2021,62.6143,4803,63.37,63.5,61.84
03/26/2021,63.9209,6817,61.92,63.9209,61.92
03/25/2021,60.8363,10604,59.82,60.8363,59
03/24/2021,60.81,5600,62.9,62.9,60.81
03/23/2021,61.5,4888,63.67,63.67,61.42
03/22/2021,64.175,8579,63.9,64.84,63.745
03/19/2021,63.055,6417,62.05,63.4304,61.83
03/18/2021,62.088,8798,64.28,64.28,62.025
03/17/2021,64.9625,7333,62.95,65.0516,62.95
03/16/2021,64.33,20320,64.53,65.38,64.07
03/15/2021,63.53,8487,62.8,63.53,62.23
03/12/2021,62.48,8678,61.887,62.4862,61.435
03/11/2021,62.855,28817,61.9,63.25,61.9
03/10/2021,60.2323,71987,62.75,62.75,60.23
03/09/2021,61.355,11724,59.22,61.8258,59.22
03/08/2021,58.04,57032,61.37,61.37,57.681
03/05/2021,61.366,20851,61.18,61.366,57.99
03/04/2021,59.57,44183,63.11,63.11,58.88
03/03/2021,63.5399,14026,65.35,65.45,63.29
03/02/2021,65.4162,14500,67.6899,67.6899,65.4162
03/01/2021,67.649,63774,66.59,67.86,66.05
02/26/2021,65.475,14837,63.41,65.645,63.2889
02/25/2021,63.63,15783,67.72,67.72,63.63
02/24/2021,67.84,14653,65.36,67.84,64.511
02/23/2021,65.55,13565,64.15,65.8769,63
02/22/2021,65.8101,10144,67.79,67.95,65.681
02/19/2021,68.38,15581,68.35,68.762,67.7973
02/18/2021,66.505,13443,65.86,66.734,65.6
02/17/2021,67.18,89056,68.12,69.1,65.8301
02/16/2021,69.75,21790,69.91,69.92,68.927
02/12/2021,68.2301,25468,67,69.2199,66.281
02/11/2021,67.13,12824,65.15,67.13,65.15
02/10/2021,64.4753,13234,64.76,65.22,64.23
02/09/2021,64.53,11700,64.5296,64.8813,64.3301
02/08/2021,64.5501,29875,63.43,64.9437,63.43
02/05/2021,62.815,13323,63.5,63.5,62.51
02/04/2021,62.99,8289,62.53,63.1867,62.3261
02/03/2021,62.46,13029,64.72,64.72,62.3
02/02/2021,64.34,7794,64.89,64.89,63.46
02/01/2021,63.65,13519,62.01,63.65,61.8592
01/29/2021,61.18,14205,62.33,62.635,60.791
01/28/2021,62.3584,7425,62.29,62.99,61.7805
01/27/2021,61.6954,39598,64.44,64.44,61.555
01/26/2021,66.5,17093,67.56,67.56,65.3953
01/25/2021,68,5324,67.8,68,65.98
01/22/2021,66.675,5869,67,67.45,66.675
01/21/2021,67.0825,10499,67.63,67.63,66.465
01/20/2021,66.6,8116,68.24,68.24,66.46
01/19/2021,67.2069,15475,65.49,67.2069,65.49
01/15/2021,65.1377,16666,66.92,66.92,64.665
01/14/2021,66.3443,6380,65.16,66.71,65.16
01/13/2021,64.8331,13166,64.93,65.25,64.59
01/12/2021,65.0575,11204,65.01,65.2689,64.62
01/11/2021,64.55,9623,62.77,64.74,62.71
01/08/2021,63.44,5439,64.71,64.7299,63.152
01/07/2021,63.46,3435,62.2,63.46,61.965
01/06/2021,60.84,3303,59.99,62.011,59.99
01/05/2021,60.6,8735,60.46,60.7,60.14
