Date,Close/Last,Volume,Open,High,Low
05/18/2021,53.88,6111027,54.23,54.385,53.11
05/17/2021,53.81,12832100,51.57,54.36,51.42
05/14/2021,51.11,8361883,50.02,51.18,50.02
05/13/2021,49.48,5144630,49.89,50.245,49.26
05/12/2021,50.07,8613865,51.14,51.7,49.9401
05/11/2021,51.56,5949046,49.84,51.56,49.57
05/10/2021,50.87,6223397,52.6,52.65,50.805
05/07/2021,51.47,8602019,51.42,51.755,50.8
05/06/2021,50.41,12303570,49.09,51.09,49.04
05/05/2021,48.71,2116309,48.65,48.74,48.08
05/04/2021,48.48,7894511,49.46,50.37,48.135
05/03/2021,49.54,8624597,48.37,49.8,48.26
04/30/2021,47.45,5081675,47.96,48.35,47.37
04/29/2021,48.23,9010901,48.77,48.81,47.67
04/28/2021,49.34,4764554,48.22,49.57,47.9513
04/27/2021,48.84,4265762,49.91,50.13,48.755
04/26/2021,49.73,2152313,49.97,50.04,49.42
04/23/2021,49.69,3815799,50.4,50.73,49.64
04/22/2021,49.95,5698690,50.68,50.98,49.72
04/21/2021,51.13,6599732,49.92,51.19,49.71
04/20/2021,49.91,3443240,49.11,49.96,49.0221
04/19/2021,49.36,4842489,50.1,50.24,49.17
04/16/2021,50.32,5213876,50.41,50.43,49.79
04/15/2021,49.79,7548887,48.5,50.105,48.3
04/14/2021,47.81,3777974,48.31,48.62,47.69
04/13/2021,48.49,4463790,48.03,48.89,47.96
04/12/2021,47.36,4999742,48.19,48.39,47.19
04/09/2021,48.65,4678645,47.95,48.98,47.8
04/08/2021,48.86,6649708,48.15,49.035,48.07
04/07/2021,47.19,6559620,47.68,47.8321,47.08
04/06/2021,47.91,8933843,47.13,48.33,47.13
04/05/2021,46.72,6319482,46.82,47.3,46.38
04/01/2021,46.72,8104660,45.81,46.76,45.68
03/31/2021,45.01,15931130,43.74,45.47,43.69
03/30/2021,43.55,8896485,44.11,44.44,43.238
03/29/2021,45.57,4835589,45.38,45.59,44.48
03/26/2021,45.93,3785984,45.19,45.94,45.1
03/25/2021,45.23,3963370,45.16,45.6671,44.67
03/24/2021,45.19,4745359,46,46.25,45.18
03/23/2021,45.79,8277739,47.19,47.35,45.73
03/22/2021,47.72,6143952,48.06,48.7,47.65
03/19/2021,48.57,5998387,47.89,48.66,47.6908
03/18/2021,47.78,6608138,47.79,48.8699,47.54
03/17/2021,48.74,8666502,47.16,49.25,46.83
03/16/2021,47.59,4998656,47.94,48.03,47.28
03/15/2021,48.04,6081807,47.47,48.1,47.3
03/12/2021,47.1,6378334,45.84,47.39,45.64
03/11/2021,47.19,4775913,46.75,47.3562,46.43
03/10/2021,46.42,5538204,46.63,46.73,46.02
03/09/2021,46.4,8418729,46.54,47.19,45.89
03/08/2021,44.7,6387452,45.13,45.57,44.61
03/05/2021,45.61,8384134,45.24,45.69,44
03/04/2021,45.07,8937349,45.43,46.48,44.12
03/03/2021,45.29,7256885,45.67,45.9,44.375
03/02/2021,46.57,8381886,45.1,46.87,45.09
03/01/2021,44.99,7072233,46.54,46.74,44.87
02/26/2021,45.76,11658200,47.35,47.54,45.065
02/25/2021,47.43,11519900,48.89,49.79,47.35
02/24/2021,50.13,5888692,48.492,50.39,48.12
02/23/2021,49.34,7474705,49.68,49.71,47.91
02/22/2021,50.31,11880460,48.29,50.65,48.2
02/19/2021,47.54,5346963,47.732,48.13,47.195
02/18/2021,47.3,5947701,48.09,48.55,47.04
02/17/2021,48.18,6753736,48.43,48.49,47.8601
02/16/2021,49.27,6958828,49.15,50.3782,49.09
02/12/2021,50.25,5842827,49.63,51.01,49.25
02/11/2021,50.1,6300626,51.2,51.47,49.76
02/10/2021,51.02,3671480,51.52,51.67,50.39
02/09/2021,50.82,5012284,51.49,51.5,50.39
02/08/2021,51.18,5241396,51.3,51.64,50.74
02/05/2021,50.37,6066125,49.91,50.53,49.43
02/04/2021,49.42,7147820,48.86,49.52,48.28
02/03/2021,50.42,2946405,50.6,50.86,50.1
02/02/2021,50.2,11261910,51.33,51.475,50.06
02/01/2021,52.96,13503270,53.21,54.32,51.862
01/29/2021,50.08,7036730,51.99,52.31,49.89
01/28/2021,50.2,10815360,50.11,51.44,48.89
01/27/2021,48.01,9143699,49.23,49.33,47.59
01/26/2021,50.04,3199849,49.98,50.73,49.78
01/25/2021,49.92,5981833,50.65,51.02,49.47
01/22/2021,50.34,6376396,49.85,50.84,49.32
01/21/2021,51.37,5879781,52.1,52.14,50.785
01/20/2021,52.06,9149652,50.98,52.34,50.79
01/19/2021,50.03,5851675,50.44,50.6,49.55
01/15/2021,49.35,11379480,51.18,51.27,49.33
01/14/2021,51.89,5916229,52.07,52.7,51.62
01/13/2021,51.89,5106426,52.36,52.95,51.84
01/12/2021,52.66,7008550,52.64,52.74,51.46
01/11/2021,52.48,9098213,52.6,53.41,52.36
01/08/2021,53.66,15663440,55.7,55.79,52.53
01/07/2021,57.02,5534610,57.29,57.5889,56.4
01/06/2021,57.79,8785051,57.27,58.005,56.17
01/05/2021,58.14,6995215,58.51,58.55,57.31
01/04/2021,58.05,16375910,57.09,58.4,56.38
12/31/2020,54.24,6064801,54.96,55.12,53.7301
12/30/2020,54.81,7742164,53.23,54.8465,53.1608
12/29/2020,53.02,6130340,53.6,54.08,52.74
12/28/2020,53.21,5401597,54.45,55,53.11
12/24/2020,53.35,2495142,52.97,53.68,52.76
12/23/2020,53.28,5490243,52.48,53.4,52.48
12/22/2020,51.88,10766910,53.85,53.98,51.63
12/21/2020,54.25,7124091,53.59,54.75,53.43
12/18/2020,54.42,6917083,55.46,55.58,54.34
12/17/2020,55.64,9735814,54.7,55.96,54.5
12/16/2020,53.27,7498501,52.17,53.29,51.58
12/15/2020,51.96,9439386,50.87,52.03,50.79
12/14/2020,49.84,7128428,50.8,51.53,49.77
12/11/2020,51.07,5517066,51.58,51.94,50.9
12/10/2020,51.51,4991845,51.4,52.46,51.13
12/09/2020,51.44,8205968,52.52,52.83,50.81
12/08/2020,53.11,3665152,53.8,53.86,52.96
12/07/2020,53.68,7751394,51.54,54.23,51.525
12/04/2020,51.62,5418964,52.1,52.52,51.39
12/03/2020,52.15,5001958,52.83,52.83,51.565
12/02/2020,52.57,8370809,52.6,52.77,51.8
12/01/2020,52.71,12097520,51.91,52.755,51.03
11/30/2020,50.03,6737125,48.98,50.065,48.38
11/27/2020,49.61,4008132,48.13,49.63,48.1
11/25/2020,49.13,8484412,48.7,49.455,48.55
11/24/2020,48.1,10138050,47.78,48.67,47.68
11/23/2020,49.56,10510000,51.3,51.37,49.49
11/20/2020,51.89,8087016,52.09,52.76,51.57
11/19/2020,51.55,7706444,50.96,51.97,50.72
11/18/2020,51.63,8673435,52.89,53.11,51.55
11/17/2020,53.06,7089825,53.67,53.75,52.84
11/16/2020,54.21,5677631,54.36,55.03,53.84
11/13/2020,54.58,5861250,55.08,55.13,54.16
11/12/2020,53.49,6467587,53.38,54.6,53.34
11/11/2020,52.89,7536607,53.27,53.54,52.6031
11/10/2020,54.01,9052987,56.02,56.2,53.94
11/09/2020,56.01,14962030,56.817,56.82,54.79
11/06/2020,59.64,8010365,60.14,60.29,58.94
11/05/2020,59.5,16843870,56.36,59.74,56.3
11/04/2020,54.2,9330523,55.86,55.92,53.96
11/03/2020,55.79,7028021,55.65,56.345,55.14
11/02/2020,54.85,10909940,54,54.96,53.22
10/30/2020,53.21,8728090,53.35,53.53,51.76
10/29/2020,52.63,6698956,51.4,53.11,51.27
10/28/2020,52.03,15350620,54.41,54.65,51.77
10/27/2020,56.19,9639373,55.09,56.285,54.89
10/26/2020,55.25,7652246,55.92,56.85,55.15
10/23/2020,56.44,6399653,57.11,57.11,55.83
10/22/2020,57.12,7507337,57.22,57.45,56.14
10/21/2020,58.18,5451266,57.83,58.97,57.75
10/20/2020,57.34,8330097,56.74,57.75,56.32
10/19/2020,56.74,6910296,58.6,58.6,56.68
10/16/2020,57.67,4486563,58.59,58.87,57.61
10/15/2020,58.5,5316546,58.02,59.14,57.96
10/14/2020,59.45,9307160,59.239,60.09,58.76
10/13/2020,58.25,6906257,58.01,58.685,57.08
10/12/2020,59.23,4399997,59.13,59.84,58.59
10/09/2020,59.5,10792030,57.85,59.59,57.82
10/08/2020,56.49,5344446,55.91,56.6598,55.56
10/07/2020,55.27,4177226,55.47,56,54.88
10/06/2020,54.66,9081627,57.23,57.5,54.531
10/05/2020,56.58,7441305,55.88,57,55.77
10/02/2020,55.32,6796193,55.524,56.33,54.98
10/01/2020,56.31,6960172,56.21,56.95,55.6101
09/30/2020,55.36,6812258,55.58,56.07,54.81
09/29/2020,56.11,6651162,55.43,56.36,55.3
09/28/2020,55.26,7269210,55.32,55.68,54.4
09/25/2020,54.23,6515229,53.93,54.79,53.2
09/24/2020,54.84,13386540,52.32,55.26,51.92
09/23/2020,53.12,17712370,56.07,56.3127,52.58
09/22/2020,57.55,7092607,57.37,57.98,56.57
09/21/2020,57.45,14899960,58.32,59.26,56.88
09/18/2020,60.61,7699144,61.42,62.1,60.42
09/17/2020,60.97,7669735,60.06,61.37,59.55
09/16/2020,61.8,9297502,62.64,62.69,61.37
09/15/2020,61.38,9601602,62.68,62.72,61.02
09/14/2020,61.34,11046550,59.3,61.4,59.3
09/11/2020,58.16,6950208,59.52,60.22,57.91
09/10/2020,58.91,9154017,60.55,60.94,58.595
09/09/2020,59.88,9223987,57.95,60.07,57.95
09/08/2020,57.26,9117113,56.32,58.67,55.65
09/04/2020,58.34,11651210,58.38,58.6242,55.8819
09/03/2020,58.73,10676450,58.56,59.34,56.84
09/02/2020,59.06,8754675,58.82,59.17,57.32
09/01/2020,59.33,9195051,61.5,61.508,58.65
08/31/2020,60.19,7443073,60,60.93,59.61
08/28/2020,59.79,10060330,58.79,60,58.28
08/27/2020,57.28,9533308,59.75,59.85,56.31
08/26/2020,58.58,9077776,56.15,58.78,56.15
08/25/2020,56.9,7510488,56.78,56.98,55.11
08/24/2020,57.06,8008639,58.32,58.48,56.88
08/21/2020,57.2,9329160,57.57,57.89,56.59
08/20/2020,58.99,7191923,57.79,59.21,57.41
08/19/2020,57.88,10876550,60.14,60.3,57.47
08/18/2020,60.71,7270358,62.89,62.91,59.83
08/17/2020,61.55,11885180,60.17,61.6,59.89
08/14/2020,57.98,5674476,58.44,58.68,56.96
08/13/2020,58.32,10803490,57,58.9,56.62
08/12/2020,55.83,11736330,57.33,57.68,55.69
08/11/2020,55.19,22144600,56.79,58.55,54.94
08/10/2020,60.65,6944315,61.71,63.39,60.43
08/07/2020,60.95,11555010,62.05,62.32,60.03
08/06/2020,63.63,9330343,65.1,65.428,62.62
08/05/2020,64.05,10805590,64.9,65.9501,62.94
08/04/2020,63.17,10273370,60.13,63.25,59.61
08/03/2020,60.21,7931774,60.47,60.7,59.03
07/31/2020,60.44,9376776,59.71,61.045,59.41
07/30/2020,58.9,11639890,59.444,60.48,58.04
07/29/2020,61.6,11387380,61.64,62.69,59.72
07/28/2020,61.78,9204734,61.49,62.7,60.81
07/27/2020,62.58,14549090,61.94,63.31,61.37
07/24/2020,59.16,9820039,58.66,59.34,57.89
07/23/2020,57.71,13880480,59.45,60.3399,56.75
07/22/2020,59.61,10804250,58.85,59.92,58.3871
07/21/2020,57.96,11970870,58.46,59.05,57.15
07/20/2020,56.6,9408861,55.52,56.87,55.38
07/17/2020,54.83,9983944,53.55,55,53.151
07/16/2020,52.63,6546351,53.22,53.8121,52.25
07/15/2020,53.89,6761867,53.39,53.95,52.35
07/14/2020,53.39,8475404,51.3,53.5,51.04
07/13/2020,51.34,9992286,54.14,54.41,51.12
07/10/2020,53.03,6446541,53.92,54.05,52.391
07/09/2020,53.31,9626580,53.9,54.56,52.03
07/08/2020,53.52,10730520,53.05,53.95,52.32
07/07/2020,51.72,11359740,50.13,52.025,50.05
07/06/2020,50.42,7786800,50.14,50.79,49.61
07/02/2020,49.13,8952636,49.21,50.64,49.06
07/01/2020,49.46,8272964,49.6,49.63,48.1102
06/30/2020,49.58,11124370,47.74,49.81,47.51
06/29/2020,48,6545225,47.5,48.05,47.065
06/26/2020,47.39,8345779,46.32,47.54,45.51
06/25/2020,46.93,5354991,46.64,46.98,45.79
06/24/2020,46.56,10644210,47.36,48.11,45.97
06/23/2020,47.99,8195298,47.91,48.4,47.39
06/22/2020,46.99,12758610,46.08,47.46,45.93
06/19/2020,44.79,11821540,44,45.45,43.63
06/18/2020,43.19,7477498,43.44,44.05,42.95
06/17/2020,43.97,5641013,43.77,44.4,43.54
06/16/2020,43.46,11626320,45,45.22,43.29
06/15/2020,45.1,11189330,42.33,45.368,41.93
06/12/2020,43.84,7420822,44.99,45.5299,43.62
06/11/2020,43.97,15988510,46.54,47.08,43.395
06/10/2020,47.08,13015040,45.5,47.11,43.99
06/09/2020,44.74,6313981,45.29,45.715,44.56
06/08/2020,45.12,5724414,44.63,45.18,44.02
06/05/2020,44.38,13128490,43.68,44.51,42.9287
06/04/2020,45.28,7077238,45.36,45.74,44.5
06/03/2020,44.46,10396660,44.66,45.33,43.88
06/02/2020,46,13517660,48.26,48.3092,45.95
06/01/2020,47.9,9888012,46.76,48.01,46.53
05/29/2020,46.08,9269379,46.14,46.48,45.56
05/28/2020,44.91,8460212,45.7,46.17,44.37
05/27/2020,44.88,11705060,43.5,44.94,42.92
05/26/2020,44.87,9729065,46.627,46.64,44.74
05/22/2020,46.43,6347816,47.09,47.82,46.42
05/21/2020,46.67,9094441,47.21,47.29,45.8
05/20/2020,47.96,7405750,48.26,50.37,47.44
05/19/2020,48.12,14503780,46.72,48.57,46.56
05/18/2020,45.94,10432330,46.92,47.06,45.22
05/15/2020,45.92,14583020,44.59,45.97,44.28
05/14/2020,43.34,10101230,41.85,43.61,41.8
05/13/2020,42.28,10054410,42.87,43.205,41.4
05/12/2020,42.26,8211552,42.48,43.69,41.86
05/11/2020,41.88,11356690,43.14,43.34,41.58
05/08/2020,43.09,8754375,43.17,44.045,42.655
05/07/2020,43.4,13277350,41.92,43.9,41.45
05/06/2020,41.22,11943590,41.61,42.07,40.86
05/05/2020,42.56,9111841,42,42.86,40.84
05/04/2020,41.97,9274530,41.72,42.36,41.5
05/01/2020,41.3,10879630,39.35,41.48,39.07
04/30/2020,40.36,18280650,41.75,42.52,40.18
04/29/2020,42.87,10621100,41.43,43.01,41.125
04/28/2020,41.68,9147812,41.63,42.11,40.75
04/27/2020,41.79,10587230,41.87,42.1336,40.54
