Date,Close/Last,Volume,Open,High,Low
05/11/2021,21.43,9139212,20.462,21.5,20.44
05/10/2021,21.38,5055601,21.85,22,21.36
05/07/2021,22.04,6773829,22,22.3287,21.86
05/06/2021,21.65,10523890,21.63,21.77,21.3
05/05/2021,21.94,5545326,22.29,22.29,21.85
05/04/2021,21.97,9551974,22.25,22.28,21.78
05/03/2021,22.91,5625730,23.32,23.34,22.86
04/30/2021,23.24,5308033,23.32,23.4681,23.08
04/29/2021,23.67,7842627,24,24.05,23.39
04/28/2021,24.04,5060404,24.02,24.26,23.8
04/27/2021,24.54,4825797,24.64,24.68,24.4
04/26/2021,24.62,5846131,24.6,24.66,24.26
04/23/2021,24.495,6355148,24.27,24.56,24.131
04/22/2021,24.05,9553663,24.25,24.38,23.895
04/21/2021,23.48,5719544,22.84,23.49,22.725
04/20/2021,23.025,4577873,23.05,23.295,22.84
04/19/2021,23.24,6605290,23.77,23.81,23.05
04/16/2021,23.82,6558661,23.4,23.89,23.3
04/15/2021,23.05,5621751,23.6134,23.64,22.8601
04/14/2021,23.39,7942551,23.73,23.99,23.35
04/13/2021,23.47,6395231,23.15,23.47,22.94
04/12/2021,23,6489112,23.203,23.23,22.75
04/09/2021,23.47,4534463,23.21,23.5,23.16
04/08/2021,23.44,4851586,23.52,23.65,23.35
04/07/2021,23.14,5636503,23.83,23.83,23.0419
04/06/2021,23.81,6499569,23.75,24.09,23.66
04/05/2021,23.81,9115242,24.63,24.65,23.75
04/01/2021,24.18,9290885,24.895,24.9399,24.14
03/31/2021,24.3,12207790,24.066,24.49,23.92
03/30/2021,23.49,8981637,22.542,23.5,22.51
03/29/2021,22.41,5176981,23.01,23.07,22.32
03/26/2021,22.96,6878929,22.72,22.99,22.4266
03/25/2021,22.51,13359530,21.75,22.51,21.58
03/24/2021,22.4,6054871,23.29,23.3,22.4
03/23/2021,23.45,4929557,24.06,24.0681,23.325
03/22/2021,23.9,6419059,23.7,24.16,23.45
03/19/2021,23.34,7793738,22.98,23.54,22.83
03/18/2021,22.74,10107880,23.51,23.6501,22.68
03/17/2021,24.05,8889072,23.8,24.295,23.425
03/16/2021,24.73,7287746,25.21,25.34,24.485
03/15/2021,25.31,4870209,25.19,25.4,24.882
03/12/2021,25.45,5204922,24.94,25.51,24.7
03/11/2021,25.65,8023741,25.08,25.68,24.91
03/10/2021,24.12,8560627,24.91,24.95,23.83
03/09/2021,24.13,9672838,23.624,24.34,23.54
03/08/2021,22.27,10265400,22.75,23.23,22.2
03/05/2021,22.97,16676490,23.64,23.7,21.41
03/04/2021,23.3,15035540,24.07,24.47,22.57
03/03/2021,24.27,9225550,25.51,25.738,24.215
03/02/2021,25.97,5318568,26.73,26.81,25.925
03/01/2021,26.83,5437766,26.63,26.92,26.31
02/26/2021,25.85,8838705,25.62,26.09,25.09
02/25/2021,25.5,10893340,26.481,26.74,25.29
02/24/2021,26.79,8236345,26.217,26.79,25.61
02/23/2021,26.23,16636720,25.39,26.24,24.44
02/22/2021,26.6,10253990,27.76,27.78,26.51
02/19/2021,28.49,6861635,28.4,28.89,28.335
02/18/2021,27.95,11359340,28.52,28.5397,27.65
02/17/2021,29.48,7710010,29.77,29.77,28.89
02/16/2021,29.98,7989313,30.885,30.9,29.6
