Date,Close/Last,Volume,Open,High,Low
05/11/2021,74.09,3954510,75.68,76,73.405
05/10/2021,77.09,2323762,77.09,78.61,76.58
05/07/2021,77.03,2827498,75.82,77.05,74.92
05/06/2021,75.5,1546444,75.75,75.77,74.59
05/05/2021,75.3,1295586,76.03,76.11,74.53
05/04/2021,75.48,2708477,74.43,75.52,74.19
05/03/2021,74.93,2418251,73.97,75.29,73.75
04/30/2021,73.22,2145188,73.99,74.14,72.86
04/29/2021,74.45,2130223,73.42,74.7,73.4
04/28/2021,73.18,1497209,73.48,73.55,72.86
04/27/2021,73.29,1882456,73.21,74.21,73.18
04/26/2021,72.94,1698716,72.45,72.97,72.17
04/23/2021,72.09,1925272,71.08,72.375,70.82
04/22/2021,70.97,2567760,71.31,71.31,70.19
04/21/2021,71.07,1435528,70.32,71.345,70.24
04/20/2021,70.36,3009078,72.29,72.55,69.38
04/19/2021,72.32,2947062,73.11,73.17,71.84
04/16/2021,72.94,2663150,71.6,73.23,71.49
04/15/2021,71.13,1847311,71.42,71.71,70.94
04/14/2021,70.87,1774718,71,71.51,70.65
04/13/2021,70.96,1593525,71.49,71.6,70.14
04/12/2021,71.54,1494657,71.39,71.58,70.9
04/09/2021,71.21,2103001,69.25,71.26,69.12
04/08/2021,69.42,3008787,70.04,70.12,69.08
04/07/2021,69.66,1824037,70.75,70.85,69.54
04/06/2021,70.68,2805315,70.31,70.92,69.87
04/05/2021,70.2,2151180,70.03,70.285,69.26
04/01/2021,69.36,2541562,68.42,69.36,68.14
03/31/2021,67.865,3320327,68.51,68.56,67.66
03/30/2021,68,2294229,66.785,68.3,66.38
03/29/2021,66.88,3103523,68.56,69.18,66.77
03/26/2021,68.53,3569053,66.44,68.55,66
03/25/2021,66.03,3456340,63.42,66.18,63.15
03/24/2021,64.16,2137548,64.44,65.69,64.11
03/23/2021,64.05,2909117,65.5,65.69,63.75
03/22/2021,65.47,1966144,65.48,65.79,64.35
03/19/2021,65.03,2652463,64.44,65.56,63.72
03/18/2021,64.24,4288834,66.45,66.59,64.1385
03/17/2021,67.16,4260570,64.23,67.21,63.75
03/16/2021,64.67,3142956,65.4,66.22,64.63
03/15/2021,65.36,2897021,63.81,65.39,63.455
03/12/2021,63.76,2843203,63.6,64.18,62.86
03/11/2021,64.54,2248313,65.09,65.41,64.21
03/10/2021,64.56,3022959,63.43,65.13,62.86
03/09/2021,62.75,2656958,63.42,63.82,62.585
03/08/2021,62.57,4922752,61.62,63.34,61.29
03/05/2021,61.32,5169899,59.09,61.49,57.97
03/04/2021,58.68,5380860,59.62,60.75,57.1899
03/03/2021,59.65,3365073,61.1,61.17,59.65
03/02/2021,61.48,2733749,61.22,61.76,60.53
03/01/2021,61.07,3926846,60.89,61.87,60.7
02/26/2021,60.13,3135541,59.59,60.83,59.02
02/25/2021,58.95,4920782,61.86,61.96,58.794
02/24/2021,62.17,3379014,61.07,62.3,59.98
02/23/2021,61.62,2489140,61.25,61.83,59.67
02/22/2021,61.56,2087645,62.52,62.69,61.56
02/19/2021,62.87,1449140,62.42,63.22,62.35
02/18/2021,62,2205225,62.02,62.51,61.72
02/17/2021,62.42,1785430,62.23,62.65,61.3533
02/16/2021,62.49,4313614,64.56,64.61,62.42
02/12/2021,64.43,1785428,64.62,65.11,64.3
02/11/2021,64.87,2296220,64.63,65.32,64.24
02/10/2021,64.25,2386471,64.5,64.84,63.16
02/09/2021,64.2,1682003,65,65.0085,63.92
02/08/2021,64.9,2374710,63.34,64.925,63.3239
02/05/2021,63.03,2425614,61.61,63.1,61.48
02/04/2021,61.34,1933446,60.58,61.7201,60.175
02/03/2021,60.53,2801605,60.76,61.15,60.05
02/02/2021,60.69,3149816,60.52,60.99,59.6
02/01/2021,59.97,1752125,59.44,60.095,58.485
01/29/2021,58.97,2882385,59.64,59.78,58.22
01/28/2021,59.89,3257662,59.83,60.26,59.03
01/27/2021,59.84,4453091,60.26,61.235,59.31
01/26/2021,61.28,3667616,62.93,63.55,60.95
01/25/2021,62.26,4209055,62.17,63.19,61.63
01/22/2021,62,3580862,61.14,62.09,60.43
01/21/2021,61.38,4293176,60.9,62.055,60.8
01/20/2021,60.48,8885508,58.46,61.06,58.215
01/19/2021,58.06,2486715,57.31,58.19,57.3
01/15/2021,56.95,2210191,56.17,57.26,56.13
01/14/2021,56.61,2420976,56.83,57.2,56.41
01/13/2021,56.5,2290356,57.18,58.09,56.5
01/12/2021,56.69,3213919,56.45,56.74,55.76
01/11/2021,56.18,2027640,54.93,56.61,54.58
01/08/2021,55.24,3198180,57.04,57.07,54.89
01/07/2021,56.77,2954489,55.23,56.92,55.22
01/06/2021,55.17,4973486,53.73,55.3557,53.73
01/05/2021,54.6,3306226,54.6,55.09,54.265
01/04/2021,54.82,3471470,55.93,56.14,53.9599
12/31/2020,55.8,1698299,56.52,56.5542,55.65
12/30/2020,56.61,1286091,56.42,57.25,56.42
12/29/2020,56.47,2267393,57.2,57.311,55.96
12/28/2020,56.88,3111720,58.23,58.33,56.87
12/24/2020,58,1219746,57.1,58,56.75
12/23/2020,57.07,2255661,58.17,58.17,56.96
12/22/2020,57.9,1385338,57.75,58.27,57.4
12/21/2020,57.67,2852030,57.13,58.045,56.42
12/18/2020,58.04,2038135,57.94,58.65,57.71
12/17/2020,57.78,3940471,56.39,58.27,56.33
12/16/2020,55.61,2406228,55.6,56.12,55.18
12/15/2020,55.62,2328040,55.32,55.86,55.28
12/14/2020,54.94,2248252,55.11,55.85,54.94
12/11/2020,54.76,1787040,54.57,55.29,54.5
12/10/2020,54.86,2349806,54.41,54.995,54.235
12/09/2020,54.77,2597241,55.03,55.34,54.41
12/08/2020,54.55,3443367,55.3,55.53,54.32
12/07/2020,55.92,2192675,54.88,56.02,54.36
12/04/2020,54.72,2846558,55.23,55.34,54.385
12/03/2020,55.37,3401654,53.87,55.65,53.85
12/02/2020,53.71,3327902,54.87,55.05,53.635
12/01/2020,55.16,3283650,56.44,56.4634,55.0415
11/30/2020,55.93,2704528,56.7,56.92,55.15
11/27/2020,56.95,839229,56.97,57.38,56.44
11/25/2020,56.79,2117404,56.78,57.23,56.28
11/24/2020,56.7,3175193,58.09,58.22,56.565
11/23/2020,57.7,2174328,56.585,57.885,56.46
11/20/2020,56.24,1928329,56.5,56.94,56.01
11/19/2020,56.51,3258162,56.48,57.21,55.92
11/18/2020,56.21,2257807,56.19,57.02,55.9301
11/17/2020,56.2,2680511,55.61,56.68,55.39
11/16/2020,56.25,3134963,55.54,56.48,55.16
11/13/2020,55.58,3474697,54.8,55.985,54.58
11/12/2020,54.41,4736074,55.37,55.8,53.86
11/11/2020,55.45,5178581,54.91,55.479,54.23
11/10/2020,54.56,7610504,52.55,55.02,52.08
11/09/2020,51.98,9490680,56.54,57.48,51.93
11/06/2020,55.88,3656128,57.2,57.25,55.61
11/05/2020,57.36,2873548,58.16,58.52,57.26
11/04/2020,57.31,6411699,55.41,57.71,55
11/03/2020,54.53,2971725,54.32,54.89,53.67
11/02/2020,53.65,4348231,52.58,53.78,52.58
10/30/2020,52.02,4090491,52.61,53.25,51.54
10/29/2020,52.76,3046402,53.25,53.71,52.38
10/28/2020,53.19,4471192,52.51,54.02,52.18
10/27/2020,53.53,3723283,54.65,54.82,53.37
10/26/2020,54.48,4391284,55.815,56.03,53.95
10/23/2020,56.55,4416052,55.7,56.55,55.32
10/22/2020,55.35,6823055,57.02,57.02,54.99
10/21/2020,56.79,5532240,58.51,58.705,56.6115
10/20/2020,58.54,2668255,58.67,59.37,58.33
10/19/2020,58.06,3847592,59.52,59.8,57.85
10/16/2020,59.35,2198761,60.22,60.87,59.285
10/15/2020,59.98,1898774,58.48,60.09,58.17
10/14/2020,59.27,2389586,59.39,59.7,58.87
10/13/2020,59.37,3354105,59.67,59.75,58.66
10/12/2020,59.89,1717915,59.965,59.99,59.2963
10/09/2020,59.57,2215432,59.54,59.97,59.16
10/08/2020,59.1,2346924,58.15,59.18,58.15
10/07/2020,57.61,2664476,57.61,58.21,57.09
10/06/2020,56.98,3764444,58.18,58.485,56.7383
10/05/2020,58.01,3674877,58.59,58.97,57.14
10/02/2020,58.08,4400004,56.53,58.39,56.31
10/01/2020,57.76,3401468,57.24,57.8,56.56
09/30/2020,56.65,3956093,55.71,57.36,55.69
09/29/2020,55.61,2776380,56.24,56.41,55.43
09/28/2020,56.23,2825820,55.11,56.35,54.79
09/25/2020,54.19,2123132,54.09,54.505,53.37
09/24/2020,54.21,4751481,53.38,54.98,52.945
09/23/2020,53.65,2774978,55.92,56.05,53.555
09/22/2020,55.9,2361311,54.61,56.04,54.15
09/21/2020,54.2,2695422,54.3,54.56,52.83
09/18/2020,55.2,2539582,55.73,56.19,54.56
09/17/2020,55.73,2725286,55.61,56.25,55.22
09/16/2020,56.55,4168597,55.39,57.17,55.39
09/15/2020,55.13,2821373,55.66,56.51,54.99
09/14/2020,55.79,2269191,55.61,55.8,55.06
09/11/2020,54.89,3432181,54.43,55.0694,54.12
09/10/2020,54,2777925,54.69,55.04,53.74
09/09/2020,54.32,3415732,53.45,54.67,52.975
09/08/2020,52.61,3100294,51.84,53.61,51.7
09/04/2020,52.86,4167509,54.37,54.9,51.66
09/03/2020,54.07,5364350,56.14,56.28,53.52
09/02/2020,56.36,3365078,56.48,56.61,55.195
09/01/2020,56.2,4154357,54.63,56.22,54.17
08/31/2020,54.57,2910407,55.38,55.54,54.43
08/28/2020,55.3,1612467,55.64,56.04,55.11
08/27/2020,55.25,3817746,56.17,56.59,55.18
08/26/2020,55.98,2410744,56.61,56.74,55.97
08/25/2020,56.33,2553235,57.17,57.2,55.75
08/24/2020,56.77,2208839,57.26,57.26,56.25
08/21/2020,56.59,4071461,55.19,56.685,55.06
08/20/2020,55.39,1915632,55.02,55.9,54.709
08/19/2020,55.43,2054639,55.84,55.84,55.06
08/18/2020,55.61,3244609,56.4,56.4,55.5
08/17/2020,55.64,2806270,54.5,55.88,54.4
08/14/2020,54.11,1628264,54.23,54.365,53.73
08/13/2020,54.36,2178678,54.02,54.56,53.57
08/12/2020,54.19,2312459,53.56,54.21,53.09
08/11/2020,53.05,2919779,53.98,54.06,52.87
08/10/2020,53.47,2500286,52.89,54.4534,52.76
08/07/2020,52.65,2256124,52.27,52.78,51.96
08/06/2020,52.5,2120382,52.49,52.85,52.31
08/05/2020,52.58,1968557,52.39,52.63,51.99
08/04/2020,52.02,1987264,52.35,52.64,51.81
08/03/2020,52.48,2634033,52.12,52.61,51.68
07/31/2020,51.66,3183671,52.1,52.1,50.62
07/30/2020,51.92,3386529,51.45,52.255,51.27
07/29/2020,52.08,3191060,51.17,52.13,50.96
07/28/2020,50.47,5177915,52.225,52.74,50.415
07/27/2020,51.9,3689183,50.39,51.92,50.09
07/24/2020,49.96,3652748,49.8,50.25,48.99
07/23/2020,49.83,5613448,50.65,51.49,49.11
07/22/2020,49.88,3455489,48.02,50.02,48.01
07/21/2020,48.01,2104240,48.29,48.29,47.635
07/20/2020,48.03,2050588,48.11,48.15,47.35
07/17/2020,48.07,3351256,48.34,48.73,48.04
07/16/2020,47.86,2777017,46.68,47.89,46.51
07/15/2020,46.98,3854751,46.93,47.19,45.98
07/14/2020,45.86,3450744,43.88,45.88,43.88
07/13/2020,44.17,3414053,45.64,46.02,44.0904
07/10/2020,45.21,1837124,44.51,45.46,44.395
07/09/2020,44.49,4503681,46.01,46.03,44.16
07/08/2020,45.77,4770355,44.44,45.8643,44.43
07/07/2020,44.19,2261170,44.01,44.905,43.92
07/06/2020,44.5,4084372,44.22,44.52,43.83
07/02/2020,43.34,2676629,43.84,44.29,43.14
07/01/2020,43.11,2576732,44.33,44.36,42.97
06/30/2020,44.15,2592166,43.36,44.4,43.16
06/29/2020,43.43,6102301,42.38,43.685,41.65
06/26/2020,41.93,2632806,42.48,42.57,41.68
06/25/2020,42.72,5076649,41.99,42.87,41.86
06/24/2020,43,4228767,44,44.1,42.05
06/23/2020,44.54,3808588,44.9,44.91,44.115
06/22/2020,44.25,3126168,43.75,44.265,43.09
06/19/2020,43.8,2672002,45.27,45.4,43.33
06/18/2020,44.53,1970369,45.04,45.4,44.34
06/17/2020,45.39,3162953,45.91,46.24,45.23
06/16/2020,45.67,4196980,46.06,46.1,44.23
06/15/2020,44.44,6689684,41.03,44.44,40.91
06/12/2020,42.53,7523878,42.78,43.63,41.47
06/11/2020,41.19,5977034,42.85,43.67,41.19
06/10/2020,45.13,4001049,45.42,45.88,44.04
06/09/2020,45.29,2943747,44.925,45.63,44.57
06/08/2020,45.62,3755440,46.8,47.36,45.285
06/05/2020,46.185,5238557,46.11,46.66,45.245
06/04/2020,44.28,4482196,45.28,45.78,44.055
06/03/2020,45.51,3276663,44.54,45.66,44.47
06/02/2020,43.91,2518599,43.61,44,43.355
06/01/2020,43.34,2986684,43.35,44.23,42.9
05/29/2020,43.25,4332509,43.11,44.14,42.79
05/28/2020,43.37,5654146,46.2,46.21,43.16
05/27/2020,45.36,6783011,44.5,45.39,43.64
05/26/2020,43.19,4932520,43.67,43.955,43.12
05/22/2020,41.85,3933005,41.06,41.97,40.8
05/21/2020,41.08,6096525,40.26,41.51,40.21
05/20/2020,40.28,4892783,40.98,41.25,39.67
05/19/2020,40,4503004,39.86,41.0401,39.295
05/18/2020,40.04,4026450,38.1,40.4,38.1
05/15/2020,36.58,4370457,35.18,36.78,35.04
05/14/2020,35.69,3388221,34.56,35.69,33.665
05/13/2020,35.27,3734313,36.33,36.385,34.79
05/12/2020,36.51,2091251,38.2,38.23,36.51
05/11/2020,38.06,2103649,38.09,38.47,37.42
05/08/2020,38.63,2856816,37.42,38.79,37.27
05/07/2020,36.88,3013314,37.07,37.59,36.83
05/06/2020,36.6,2682964,36.94,37.26,36.255
05/05/2020,36.82,3597932,36.49,37.44,36.49
05/04/2020,36.04,2323329,35.17,36.09,34.78
05/01/2020,35.82,2730963,35.39,35.82,35.03
04/30/2020,36.52,4040140,37.41,37.41,36.2
04/29/2020,38.06,4060706,37.58,38.345,37.355
04/28/2020,36.05,4615650,35.14,36.42,35.14
04/27/2020,33.84,3236573,32.75,34.06,32.5
04/24/2020,32.32,1394840,31.3,32.52,31.175
04/23/2020,31.03,1887238,30.85,31.88,30.57
04/22/2020,30.88,1623786,31.18,31.35,30.69
04/21/2020,30.5,2083873,30.1,30.78,29.9
04/20/2020,30.88,3157772,31.38,31.81,30.72
04/17/2020,32.17,3281420,32.27,32.8599,31.57
04/16/2020,30.69,2150293,30.64,30.975,30.005
04/15/2020,30.65,2447291,31.46,31.46,30.31
04/14/2020,32.46,2912668,32.48,32.9725,31.86
04/13/2020,31.47,3248596,33.38,33.38,31.07
04/09/2020,33.49,4959655,33.06,35.03,32.81
04/08/2020,32.33,2655401,30.12,32.56,30.12
04/07/2020,29.85,2376625,30.59,31.83,29.76
04/06/2020,29.33,3560485,26.95,29.59,26.95
04/03/2020,25.75,1567534,26.11,26.52,25.27
04/02/2020,26.35,2122835,26.26,27.305,25.67
04/01/2020,26.58,3547226,27.95,27.95,26.36
03/31/2020,28.93,4008378,29.86,30.1,28.76
03/30/2020,30.22,1749524,30.61,30.61,29.56
03/27/2020,30.53,1905898,30.79,31.49,30.04
03/26/2020,31.94,2693139,30.78,32.145,30.68
03/25/2020,30.61,4660570,28.55,31.45,27.95
03/24/2020,28.16,5232004,25.3,28.21,25.3
03/23/2020,24.14,8171955,25.3,25.3,23.37
03/20/2020,25.42,5356758,26.5,27.17,25.14
03/19/2020,26.08,3912285,24.04,26.77,23.13
03/18/2020,24.37,6134811,25.21,25.75,22.39
03/17/2020,26.95,4192878,27.78,28.12,25.25
03/16/2020,27.39,3504325,30.36,30.76,27.3
03/13/2020,34.32,4039793,35.2,35.75,31.83
03/12/2020,33.49,4956487,35.45,35.91,33.13
03/11/2020,38.46,5174571,40.67,41.12,38.27
03/10/2020,42.01,3901819,41.58,42.045,39.59
03/09/2020,40.36,4656013,41.41,41.91,39.16
03/06/2020,44.42,4328382,44.37,44.84,43.36
03/05/2020,45.89,3581294,46.33,46.93,45.63
03/04/2020,47.49,4377027,46.26,47.51,45.88
03/03/2020,45.26,6809684,45.11,46.34,44.55
03/02/2020,44.985,5735969,43.47,45,43.13
02/28/2020,43.41,6043587,43.44,44,42.33
02/27/2020,44.7,4877488,44.93,46.36,44.43
02/26/2020,45.87,4698674,46.76,47.3,45.83
02/25/2020,47.14,4723725,49.5,49.5,47.07
02/24/2020,49.12,3508399,48.96,49.55,48.92
02/21/2020,50.14,1500260,50.3,50.52,50.01
02/20/2020,50.4,2848673,49.95,50.46,49.55
02/19/2020,49.87,1352786,49.85,50.21,49.85
