Date,Close/Last,Volume,Open,High,Low
05/11/2021,20.42,991513,19.73,20.6,19.7
05/10/2021,20.7,1007383,21.3,21.33,20.67
05/07/2021,21.34,1912304,20.79,21.57,20.612
05/06/2021,20.45,1303788,20.74,20.81,20.16
05/05/2021,20.86,383592,20.87,21,20.7089
05/04/2021,20.86,1176111,20.78,20.91,20.4
05/03/2021,21.05,1071824,21.52,21.5679,20.982
04/30/2021,21.38,754905,21.29,21.75,21.2447
04/29/2021,21.51,790405,21.89,21.89,21.09
04/28/2021,21.95,1000711,21.17,22.02,21.11
04/27/2021,21.24,644964,21.61,21.69,21.135
04/26/2021,21.5,673371,21.17,21.52,21.085
04/23/2021,21.15,618363,20.64,21.2,20.5174
04/22/2021,20.54,646856,20.94,20.9899,20.38
04/21/2021,20.85,1201354,19.96,20.85,19.83
04/20/2021,20.05,2007537,21.12,21.13,19.96
04/19/2021,20.99,1487347,21.14,21.52,20.765
04/16/2021,21.09,1128930,20.85,21.11,20.62
04/15/2021,20.92,1276888,21.15,21.44,20.79
04/14/2021,21.06,1168186,21.34,21.47,21.04
04/13/2021,21.42,1113352,21,21.5397,20.86
04/12/2021,21.22,1938981,21.9,21.91,21.16
04/09/2021,22.31,673872,22.14,22.51,22.02
04/08/2021,22.3,624149,22.09,22.38,21.78
04/07/2021,21.86,817556,22.39,22.5,21.816
04/06/2021,22.46,813632,22.91,22.9499,22.41
04/05/2021,22.91,981535,23.28,23.29,22.69
04/01/2021,22.89,1015482,23.22,23.31,22.8101
03/31/2021,22.9,2055656,22.79,23.2,22.6169
03/30/2021,22.36,1173951,22.06,22.4111,21.76
03/29/2021,22.05,845439,22.51,22.8299,22.04
03/26/2021,22.47,1257359,22.91,23.15,22.01
03/25/2021,22.56,1410224,21.77,22.6694,21.55
03/24/2021,22.13,1387371,23,23,22.11
03/23/2021,22.77,1602575,23.46,23.74,22.66
03/22/2021,23.44,827125,23.99,24.02,23.38
03/19/2021,23.86,1114210,23.74,23.93,23.28
03/18/2021,23.39,2800151,24.33,24.53,23.325
03/17/2021,24.1,1427323,23.41,24.36,23.27
03/16/2021,23.78,2918783,25.19,25.248,23.57
03/15/2021,25,3300773,24.15,25.13,23.92
03/12/2021,24.05,2746208,23.11,24.23,23.06
03/11/2021,23.88,2838396,23.12,23.88,22.67
03/10/2021,22.35,2552728,23.3,23.31,21.99
03/09/2021,22.54,2109121,21.95,22.66,21.7
03/08/2021,21.27,1578753,21.09,21.76,20.78
03/05/2021,21.21,3696521,21.37,21.46,19.51
03/04/2021,21.2,4510734,22.13,22.5599,20.6575
03/03/2021,22.36,1535893,23.35,23.53,22.26
03/02/2021,23.19,2420123,23.73,24.5,23.13
03/01/2021,23.47,1576080,23.16,23.7,23.0135
02/26/2021,22.56,1585681,22.82,23.3699,22.3
02/25/2021,22.85,2044602,24.08,24.3011,22.73
02/24/2021,24.28,2125146,23.82,24.328,23.2701
02/23/2021,23.26,3856528,23.02,23.43,21.61
02/22/2021,24.05,2447794,24.58,24.8599,24.05
02/19/2021,24.96,2299748,24.62,25.26,24.3179
02/18/2021,24.2,2585636,25.72,26.1,24.2
02/17/2021,25.5,3768960,25.65,26.15,25.03
02/16/2021,26.91,5971960,25.66,27.11,25.3
02/12/2021,24.54,8099951,24,26.45,23.2
02/11/2021,25.04,20823310,31.904,32.09,24.65
02/10/2021,33.21,17918740,34.5,34.58,29.19
02/09/2021,28.9,8492226,26.62,29.49,26.26
02/08/2021,25.48,3506018,23.75,25.56,23.7
02/05/2021,23.36,2384582,23.8,23.88,23.07
02/04/2021,23.53,3540282,23.43,23.88,22.531
02/03/2021,23.3,6352936,22.6,23.89,22.36
02/02/2021,21.22,4603130,19.8,21.36,19.6501
02/01/2021,19.32,1587517,19.27,19.42,18.77
01/29/2021,19.05,1824214,19.41,19.99,18.9
01/28/2021,19.57,2421373,19.34,20.187,19.23
01/27/2021,19.41,2823721,18.72,19.98,18.66
01/26/2021,19.52,2162530,19,19.74,18.97
01/25/2021,18.69,2564087,19.43,19.4919,18.34
01/22/2021,19.42,2305195,18.99,19.45,18.83
01/21/2021,19.46,2196606,19.77,19.81,19.09
01/20/2021,19.8,2262715,20.12,20.27,19.5101
01/19/2021,20.2,3039057,20,20.2,19.16
01/15/2021,19.82,5620180,20.8,20.97,19.34
01/14/2021,19.93,5611243,18.83,20.11,18.68
01/13/2021,18.38,3725414,17.85,18.63,17.72
01/12/2021,17.72,2428891,17.61,17.82,17.32
01/11/2021,17.5,3758286,16.7,17.7853,16.65
01/08/2021,16.84,3823974,17.1,17.15,16.5
01/07/2021,16.96,5538079,17.21,17.49,16.83
01/06/2021,16.52,8351426,16.35,17.22,16.19
01/05/2021,15.29,2550845,14.91,15.36,14.825
01/04/2021,14.86,1664783,14.5,14.9815,14.41
12/31/2020,14.35,984659,14.64,14.645,14.31
12/30/2020,14.64,1398171,14.38,14.745,14.272
12/29/2020,14.33,1911842,14.7,14.8,14.15
12/28/2020,14.66,1170824,15.11,15.12,14.63
12/24/2020,15,778273,15.3,15.34,14.91
12/23/2020,15.27,1323866,14.83,15.4599,14.745
12/22/2020,14.89,774501,14.85,15.0199,14.705
12/21/2020,14.8,1545909,14.85,14.98,14.69
12/18/2020,15.19,1100543,15.23,15.36,15.05
12/17/2020,15.22,1185019,15.49,15.49,15.13
12/16/2020,15.44,2154275,15.6,15.65,15.18
12/15/2020,15.2,1693456,14.88,15.235,14.5913
12/14/2020,14.79,1253500,15.17,15.37,14.765
12/11/2020,15.11,946601,15.13,15.28,14.99
12/10/2020,15.29,978499,14.91,15.3,14.86
12/09/2020,15.12,1902002,15.65,15.68,14.74
12/08/2020,15.66,1243532,15.36,15.7,15.27
12/07/2020,15.5,1852098,15.77,15.79,15.26
12/04/2020,15.78,3528560,16.04,16.26,15.66
