Date,Close/Last,Volume,Open,High,Low
05/11/2021,54.6114,1040,54.7,54.7,54.41
05/10/2021,55.0255,9842,55.49,55.51,55.0001
05/07/2021,55.185,6394,54.67,55.33,54.67
05/06/2021,54.3101,2989,53.89,54.3101,53.89
05/05/2021,53.89,839,54.05,54.05,53.8
05/04/2021,53.99,4052,54.47,54.47,53.77
05/03/2021,54.2598,8205,53.93,54.75,53.87
04/30/2021,53.5051,2816,53.66,53.66,53.455
04/29/2021,53.675,7215,53.749,53.79,53.4593
04/28/2021,53.4122,2931,53.39,53.479,53.1527
04/27/2021,53.22,3789,53.5,53.87,53.2175
04/26/2021,53.14,10284,53.7,53.7,53.03
04/23/2021,53.345,3872,52.995,53.36,52.995
04/22/2021,53.1461,2561,53.5,53.5,53.1461
04/21/2021,53.4893,2696,53,53.4893,53
04/20/2021,53.4036,2023,53.01,53.45,53.01
04/19/2021,53.303,4379,53.91,53.91,53.303
04/16/2021,53.69,2240,53.8,53.8,53.465
04/15/2021,53.4673,3825,53.16,53.4673,53.16
04/14/2021,53.2999,751,53.39,53.53,53.24
04/13/2021,53.3576,1885,53.23,53.449,53
04/12/2021,53.11,6197,53.165,53.25,53.0601
04/09/2021,53.25,3411,53.52,53.52,53.2
04/08/2021,53.32,10317,53.84,53.84,53.2701
04/07/2021,53.26,1545,53.57,53.57,53.2167
04/06/2021,52.9697,4940,53.2,53.2,52.8907
04/05/2021,53.3405,2619,52.7,53.37,52.66
04/01/2021,52.5067,789,52.31,52.5067,52.31
03/31/2021,52.4153,541,52.46,52.46,52.415
03/30/2021,52.118,3391,52.02,52.17,52.02
03/29/2021,52.66,7753,52.68,53,52.232
03/26/2021,52.6849,2755,52.67,52.6849,52.35
03/25/2021,52.4353,2669,51.8171,52.4353,51.8171
03/24/2021,51.6556,1400,51.87,51.96,51.65
03/23/2021,51.6393,3523,51.81,51.86,51.5
03/22/2021,52.0019,2052,52.35,52.35,51.955
03/19/2021,52.12,3207,51.89,52.17,51.89
03/18/2021,51.7952,2352,52.5,52.5,51.7952
03/17/2021,52.5762,2556,52.4,52.5762,51.64
03/16/2021,52.7004,3965,52.6,52.845,52.3
03/15/2021,52.3565,9268,51.69,52.3565,51.69
03/12/2021,51.3072,5096,50.73,51.3499,50.62
03/11/2021,50.78,5509,50.8099,50.98,50.76
03/10/2021,50.1081,2275,49.96,50.12,49.96
03/09/2021,49.93,2051,49.94,50.06,49.74
03/08/2021,48.9791,2136,48.86,49.275,48.86
03/05/2021,48.5563,1002,48.0341,48.5563,48.0341
03/04/2021,47.9792,1397,48.36,48.79,47.9792
03/03/2021,48.4735,830,48.7399,48.7399,48.4735
03/02/2021,48.7186,2510,48.609,48.94,48.609
03/01/2021,48.455,3295,48.23,48.6399,48.2209
02/26/2021,47.6329,1244,48.41,48.41,47.6329
02/25/2021,48.4602,3417,49.42,49.42,48.4539
02/24/2021,49.32,1430,49.41,49.45,48.955
02/23/2021,49.51,2731,49.4,49.5799,49.2117
02/22/2021,49.46,4238,49.78,49.78,49.46
02/19/2021,49.9,3384,50.26,50.26,49.9
02/18/2021,50.1383,3000,50.56,50.56,50.09
02/17/2021,50.4163,1680,50.47,50.47,50.1401
02/16/2021,50.53,21220,50.78,50.96,50.46
02/12/2021,50.641,392,50.641,50.641,50.641
02/11/2021,50.8648,1191,51.05,51.13,50.8648
02/10/2021,50.9633,1154,50.94,51,50.7801
02/09/2021,50.5879,2207,50.5,50.78,50.5
02/08/2021,50.49,2704,50.72,50.72,50.33
02/05/2021,50.1072,2052,49.67,50.15,49.67
