Date,Close/Last,Volume,Open,High,Low
05/11/2021,13.52,392519,13.2,13.71,13.03
05/10/2021,13.87,158993,14.44,14.52,13.8
05/07/2021,14.44,437916,13.75,14.6907,13.75
05/06/2021,13.66,190658,14.25,14.29,13.54
05/05/2021,14.44,132443,14.28,14.44,14.01
05/04/2021,14.1,255854,14.2,14.28,13.751
05/03/2021,14.36,206752,15,15,14.3001
04/30/2021,14.91,269535,14.92,15.18,14.65
04/29/2021,14.97,526384,15,15.05,14.528
04/28/2021,14.94,215755,14.58,15.049,14.2001
04/27/2021,14.44,184602,14.59,14.87,14.3001
04/26/2021,14.46,276878,14.2,14.545,14.06
04/23/2021,14.1,212586,13.9,14.25,13.805
04/22/2021,13.95,208481,13.95,14.15,13.7
04/21/2021,13.9,235317,13.25,13.99,13.18
04/20/2021,13.43,427039,14.4,14.41,13.29
04/19/2021,14.21,314187,14.05,14.51,13.8087
04/16/2021,14.05,313448,14,14.0999,13.595
04/15/2021,13.97,318203,14.14,14.3999,13.8418
04/14/2021,14.14,259865,14.47,14.47,14.05
04/13/2021,14.45,361269,14.14,14.61,13.97
04/12/2021,14.36,504816,15.17,15.17,14.27
04/09/2021,15.4,228092,15.18,15.49,15.04
04/08/2021,15.18,185484,15.14,15.3799,14.84
04/07/2021,15.02,253549,15.47,15.53,14.9301
04/06/2021,15.58,279438,15.83,15.895,15.41
04/05/2021,15.93,278047,16.4,16.41,15.75
04/01/2021,16.05,257836,16.445,16.445,15.9268
03/31/2021,16.05,287423,16.0382,16.2499,15.7029
03/30/2021,15.46,245804,15.25,15.68,15.01
03/29/2021,15.5,310073,15.82,16.05,15.37
03/26/2021,15.82,641656,16.39,16.48,15.51
03/25/2021,16.1,273204,15.26,16.1,15.221
03/24/2021,15.7,364722,16.29,16.5,15.7
03/23/2021,16.11,443469,16.76,16.869,16.05
03/22/2021,16.91,294787,17.56,17.56,16.76
03/19/2021,17.36,284121,17.3,17.53,16.86
03/18/2021,17.29,384093,18.05,18.2954,17.1501
03/17/2021,17.87,290764,17.22,18,17
03/16/2021,17.71,795105,18.95,18.97,17.33
03/15/2021,18.71,702081,17.85,18.74,17.5026
03/12/2021,17.69,417273,16.86,17.75,16.75
03/11/2021,17.43,756017,16.84,17.46,16.4502
03/10/2021,16.17,591717,17.29,17.29,15.8
03/09/2021,16.53,465142,16,16.66,15.78
03/08/2021,15.38,440526,15.23,15.919,15
03/05/2021,15.23,832283,15.55,15.8,13.91
03/04/2021,15.48,963620,16.32,16.76,15
03/03/2021,16.78,432298,17.56,17.8299,16.5101
03/02/2021,17.38,597762,17.61,18.5,17.15
03/01/2021,17.32,561150,17.21,17.55,17.05
02/26/2021,16.53,2248570,17,17.5,16.38
02/25/2021,17.04,573569,18.24,18.3796,16.75
02/24/2021,18.16,776276,17.5718,18.2199,17.3
02/23/2021,17.26,1409999,16.923,17.38,15.5
02/22/2021,18.17,668078,18.53,18.8832,18.1
02/19/2021,19.02,663417,18.69,19.25,18.3655
02/18/2021,18.47,733758,19.82,20.1339,18.35
02/17/2021,19.74,935725,20.25,20.47,19.3
02/16/2021,21.1,1448700,20.325,21.23,20.02
02/12/2021,19.52,2263125,19.11,21.4501,18.5
02/11/2021,20.47,6219460,27.7,27.91,20.2606
02/10/2021,28.7,4885628,29.395,29.5,24.5
02/09/2021,23.88,3243407,21.82,24.4,21.5
02/08/2021,20.37,1821651,18.85,20.37,18.6111
02/05/2021,18.35,673475,18.85,18.85,18.03
02/04/2021,18.63,817187,18.6,18.99,17.7258
02/03/2021,18.25,1337074,18.15,18.93,17.5401
02/02/2021,16.59,666873,15,16.64,14.9
02/01/2021,14.73,268633,14.88,14.8952,14.23
01/29/2021,14.5,236055,14.78,15.29,14.36
01/28/2021,14.78,295308,14.76,15.45,14.57
01/27/2021,14.77,353879,14.5,15.33,14.1701
01/26/2021,14.85,316474,14.25,14.99,14.25
01/25/2021,14.07,402183,14.73,14.9,13.8
01/22/2021,14.8,256175,14.75,15,14.51
01/21/2021,15.13,492401,15.32,15.35,14.72
01/20/2021,15.41,414865,15.69,15.81,15.13
01/19/2021,15.69,757097,15.62,15.69,14.5708
01/15/2021,15.44,1261563,16.19,16.67,15.15
01/14/2021,15.39,869706,14.24,15.49,14.2
01/13/2021,13.89,414330,13.22,14.022,13.1
01/12/2021,13.07,285545,12.97,13.11,12.75
01/11/2021,12.75,384543,12.05,12.89,11.9001
01/08/2021,12.16,337611,12.37,12.39,11.8
01/07/2021,12.25,628354,12.45,12.74,12.12
01/06/2021,11.81,677837,11.96,12.39,11.785
01/05/2021,10.92,100509,10.53,10.929,10.47
01/04/2021,10.45,128679,10.04,10.51,10.0107
12/31/2020,9.9,132444,10.18,10.18,9.9
12/30/2020,10.18,93748,10,10.25,9.9501
12/29/2020,10.11,134381,10.51,10.51,9.95
12/28/2020,10.33,142700,10.57,10.74,10.33
12/24/2020,10.53,42323,10.83,10.83,10.5001
12/23/2020,10.89,108704,10.57,10.9947,10.35
12/22/2020,10.56,77111,10.6,10.69,10.44
12/21/2020,10.59,107276,10.75,10.81,10.5
12/18/2020,10.845,120275,10.93,11,10.81
12/17/2020,10.95,154319,11.27,11.27,10.9
12/16/2020,11.32,214612,12.05,12.05,11.15
12/15/2020,11.16,139298,10.84,11.16,10.56
12/14/2020,10.85,141674,11.26,11.33,10.79
12/11/2020,11.03,123744,11.16,11.2469,10.95
12/10/2020,11.25,86948,11.2,11.33,11.074
12/09/2020,11.27,204821,11.9,11.9,11.02
12/08/2020,11.8,174777,11.75,11.87,11.65
12/07/2020,11.82,346071,12.2,12.2,11.65
12/04/2020,12.16,271604,12.3,12.425,11.9501
12/03/2020,12.12,198199,12.02,12.15,11.6447
12/02/2020,11.87,149036,11.35,11.9,11.3
12/01/2020,11.29,234576,12.54,12.54,11.17
11/30/2020,12.09,264091,11.69,12.27,11.182
11/27/2020,11.38,88644,10.61,11.4,10.555
11/25/2020,10.5313,141626,10.58,10.633,10.31
11/24/2020,10.6,264618,10.41,10.7684,10.28
11/23/2020,9.6319,59675,9.69,9.75,9.5
11/20/2020,9.625,52995,9.59,9.76,9.528
11/19/2020,9.56,45317,9.6,9.715,9.51
11/18/2020,9.66,76346,9.99,9.99,9.54
11/17/2020,9.78,98288,9.69,9.82,9.6
11/16/2020,9.57,92224,9.93,9.93,9.4
11/13/2020,9.8,73461,9.55,9.8,9.5101
11/12/2020,9.4519,69171,9.68,9.806,9.4001
11/11/2020,9.7321,93373,9.96,9.96,9.35
11/10/2020,9.79,165324,10.02,10.115,9.491
11/09/2020,10.5,399602,12.39,12.75,10.4
11/06/2020,10.35,802710,9.57,11.3499,9.54
11/05/2020,9.19,256146,8.5,9.19,8.4
11/04/2020,8.05,45753,8.34,8.34,8.01
11/03/2020,8.4,53217,8.45,8.4844,8.02
11/02/2020,8.22,100436,7.83,8.325,7.7833
10/30/2020,7.7,34277,7.98,7.98,7.4308
10/29/2020,7.8,11532,7.63,7.8,7.5863
10/28/2020,7.675,52081,7.735,7.77,7.59
10/27/2020,7.92,47809,7.91,8,7.8936
10/26/2020,7.9,31461,8.19,8.245,7.83
10/23/2020,8.24,35336,8.41,8.41,8.21
10/22/2020,8.28,14748,8.32,8.38,8.21
10/21/2020,8.23,22018,8.39,8.49,8.22
10/20/2020,8.44,19860,8.52,8.52,8.3
10/19/2020,8.4507,22443,8.19,8.55,8.16
10/16/2020,8.095,19780,8.16,8.1963,8
10/15/2020,8.1,51505,8.2,8.21,8
10/14/2020,8.33,29982,8.56,8.56,8.33
