Date,Close/Last,Volume,Open,High,Low
05/18/2021,17.49,2799782,17.6,17.6,17.0912
05/17/2021,17.46,3478294,16.37,17.55,16.3
05/14/2021,16.22,1771774,15.9,16.3,15.853
05/13/2021,15.56,2282041,16,16.1,15.4
05/12/2021,16.2,1745907,16.7,16.8999,16.12
05/11/2021,16.82,1705818,16.1,16.82,15.93
05/10/2021,16.46,2442746,17.1,17.19,16.41
05/07/2021,16.73,1547708,16.6,16.79,16.3447
05/06/2021,16.48,2438194,15.73,16.64,15.7098
05/05/2021,15.56,356258,15.65,15.65,14.73
05/04/2021,15.53,2394633,15.87,16.1,15.37
05/03/2021,15.92,1688576,15.4,15.96,15.315
04/30/2021,15.04,943843,15.26,15.42,15.02
04/29/2021,15.37,1176944,15.6,15.68,15.1
04/28/2021,15.72,1022749,15.36,15.85,15.18
04/27/2021,15.53,1033254,15.95,16,15.51
04/26/2021,15.86,972255,15.84,15.908,15.655
04/23/2021,15.76,992372,15.87,16.04,15.6
04/22/2021,15.73,1530598,16.11,16.145,15.63
04/21/2021,16.29,1544984,15.82,16.29,15.6822
04/20/2021,15.64,1135529,15.58,15.76,15.4
04/19/2021,15.63,1164344,15.9,15.9502,15.51
04/16/2021,15.95,1273931,16.25,16.26,15.84
04/15/2021,16.02,1866319,15.56,16.16,15.53
04/14/2021,15.26,823245,15.45,15.57,15.25
04/13/2021,15.53,1331949,15.51,15.72,15.42
04/12/2021,15.2,1607482,15.67,15.69,15.15
04/09/2021,15.69,1489301,15.36,15.79,15.35
04/08/2021,15.85,1465210,15.51,15.89,15.45
04/07/2021,15.17,926582,15.45,15.45,15.113
04/06/2021,15.53,1345825,15.12,15.6799,15.1
04/05/2021,15,980364,15.12,15.25,14.87
04/01/2021,15.05,1711079,14.69,15.05,14.66
03/31/2021,14.43,1526582,13.97,14.49,13.941
03/30/2021,13.91,1706132,13.86,14.0599,13.755
03/29/2021,14.31,1856343,14.45,14.5099,13.9489
03/26/2021,14.61,1053486,14.31,14.64,14.31
03/25/2021,14.34,1278070,14.2,14.49,14.0376
03/24/2021,14.34,1007784,14.67,14.76,14.335
03/23/2021,14.57,1547624,15.17,15.22,14.49
03/22/2021,15.38,614882,15.45,15.64,15.35
03/19/2021,15.6,806246,15.67,15.73,15.4
03/18/2021,15.59,1511227,15.71,16.0899,15.5
03/17/2021,16.08,1476431,15.49,16.295,15.3
03/16/2021,15.6,817724,15.74,15.74,15.4794
03/15/2021,15.82,1389642,15.47,15.8454,15.4063
03/12/2021,15.37,1063782,14.77,15.39,14.65
03/11/2021,15.25,1026099,15.05,15.255,14.9136
03/10/2021,14.94,1185108,14.82,15,14.6401
03/09/2021,14.81,1569617,15.01,15.13,14.62
03/08/2021,14.27,1013526,14.49,14.63,14.17
03/05/2021,14.54,2965881,14.43,14.57,13.73
03/04/2021,14.39,3135433,14.76,14.99,13.92
03/03/2021,14.85,1891996,15,15.145,14.56
03/02/2021,15.39,1672051,14.96,15.61,14.91
03/01/2021,14.87,2890654,15.8,15.8497,14.76
02/26/2021,15.41,3332927,15.92,16,15.01
02/25/2021,16.36,2830908,17.17,17.3999,16.195
02/24/2021,17.35,2582287,16.43,17.41,16.25
02/23/2021,16.67,2830440,16.57,16.6999,15.8
02/22/2021,16.85,2837556,15.88,16.95,15.765
02/19/2021,15.57,1271622,15.46,15.74,15.3905
02/18/2021,15.25,1289381,15.58,15.7199,15.07
02/17/2021,15.57,1599026,15.62,15.64,15.27
02/16/2021,15.8,2377495,15.73,16.18,15.6401
02/12/2021,15.75,1470216,15.5,15.99,15.25
02/11/2021,15.59,1718032,15.96,15.9989,15.3725
02/10/2021,15.8,1293762,16.17,16.194,15.5501
02/09/2021,15.98,1414971,16.2,16.22,15.81
02/08/2021,16.1,1898732,16.11,16.23,15.85
02/05/2021,15.59,1510992,15.42,15.64,15.119
02/04/2021,15.13,2468242,14.94,15.19,14.51
02/03/2021,15.35,1454262,15.84,15.855,15.28
02/02/2021,15.42,4681910,16.2,16.3,15.35
02/01/2021,17.78,8724672,18.46,18.84,17.0101
01/29/2021,15.53,4464974,16.13,16.35,15.3603
01/28/2021,15.01,4818519,15.24,15.61,14.43
01/27/2021,13.64,2049044,14.05,14.12,13.44
01/26/2021,14.32,711394,14.36,14.555,14.28
01/25/2021,14.34,1061401,14.81,14.85,14.23
01/22/2021,14.59,1287291,14.35,14.7899,14.21
01/21/2021,14.88,1194941,15.18,15.28,14.7
01/20/2021,15.18,1965472,14.76,15.23,14.7
01/19/2021,14.42,1223303,14.52,14.58,14.21
01/15/2021,14.15,2774605,15,15.015,14.15
01/14/2021,15.14,1335182,15.09,15.4,15.0319
01/13/2021,15.05,1677505,15.6,15.605,15.0406
01/12/2021,15.61,1959420,15.51,15.64,15.16
01/11/2021,15.42,1792476,15.52,15.72,15.31
01/08/2021,15.95,5687783,16.8,16.8,15.57
01/07/2021,17.2,1229141,17.27,17.54,16.96
01/06/2021,17.34,2988804,17.18,17.43,16.83
01/05/2021,17.41,2003709,17.53,17.63,17.015
01/04/2021,17.27,2887689,17.11,17.48,16.86
12/31/2020,16.31,1989045,16.53,16.62,16.08
12/30/2020,16.55,1976492,15.77,16.55,15.7
12/29/2020,15.7,1367125,15.85,15.9433,15.44
12/28/2020,15.77,2274229,16.01,16.25,15.67
12/24/2020,15.59,741621,15.46,15.6899,15.27
12/23/2020,15.47,1030427,15.32,15.57,15.2
12/22/2020,15.11,2115873,15.81,15.9,14.96
12/21/2020,15.79,2194574,15.62,15.95,15.42
12/18/2020,15.41,1311643,15.89,15.91,15.4
12/17/2020,15.9,3191333,15.51,15.92,15.48
12/16/2020,15.03,1995001,14.63,15.03,14.44
12/15/2020,14.34,994481,13.98,14.355,13.93
12/14/2020,13.56,873815,13.99,14.15,13.53
12/11/2020,14.06,615392,14.23,14.45,14.03
12/10/2020,14.31,494970,14.3,14.55,14.15
12/09/2020,14.16,1282839,14.52,14.58,13.9
12/08/2020,14.66,724510,14.86,14.91,14.61
12/07/2020,14.79,1195510,14.25,14.97,14.25
12/04/2020,14.32,758169,14.3,14.5,14.19
12/03/2020,14.3,1014889,14.61,14.65,14.2207
12/02/2020,14.55,1058751,14.55,14.62,14.3038
12/01/2020,14.55,2073137,14.36,14.55,14.05
11/30/2020,13.69,1174208,13.46,13.76,13.2203
11/27/2020,13.58,804948,13.1,13.62,13.1
11/25/2020,13.58,759538,13.57,13.7248,13.4301
11/24/2020,13.39,1638649,13.22,13.48,13.15
11/23/2020,13.57,1340026,13.94,14.01,13.44
11/20/2020,14.07,606605,14.15,14.405,14.05
11/19/2020,13.92,1112446,13.75,14.0342,13.65
11/18/2020,13.96,1219950,14.43,14.4409,13.96
11/17/2020,14.43,485826,14.7,14.7799,14.33
11/16/2020,14.77,802841,14.71,15,14.58
11/13/2020,14.7,675418,14.99,14.99,14.6491
11/12/2020,14.51,884044,14.55,14.87,14.4571
11/11/2020,14.27,861594,14.31,14.465,14.2113
11/10/2020,14.51,1107046,15.15,15.15,14.48
11/09/2020,14.96,2981861,15.15,15.15,14.55
11/06/2020,15.98,2606679,16.01,16.1435,15.7145
11/05/2020,15.74,3227587,14.77,15.8,14.75
11/04/2020,14.06,839234,14.6,14.6465,14.043
11/03/2020,14.6,1061583,14.45,14.7,14.25
11/02/2020,14.19,859094,13.95,14.225,13.6802
10/30/2020,13.7,1070943,13.8,13.9,13.25
10/29/2020,13.55,748490,13.1,13.61,13.08
10/28/2020,13.31,1378263,13.91,14,13.22
10/27/2020,14.55,535396,14.26,14.56,14.14
10/26/2020,14.22,1189467,14.44,14.74,14.22
10/23/2020,14.68,540428,14.75,14.8477,14.46
10/22/2020,14.78,651760,14.78,14.86,14.5
10/21/2020,15.05,1403090,14.87,15.24,14.8098
10/20/2020,14.66,629093,14.41,14.75,14.3001
10/19/2020,14.38,1013631,14.97,15.0718,14.28
10/16/2020,14.68,564807,15,15.08,14.63
10/15/2020,14.95,594444,14.7,15.009,14.65
10/14/2020,15.14,986900,15.07,15.32,14.94
10/13/2020,14.88,848440,14.78,14.9,14.41
10/12/2020,15.09,1202930,15.05,15.2235,14.8117
10/09/2020,15.03,1766029,14.53,15.05,14.45
10/08/2020,14.1,827160,13.9,14.1,13.82
10/07/2020,13.76,462358,13.73,13.95,13.62
10/06/2020,13.62,895285,14.29,14.4,13.5204
10/05/2020,14.3,570085,14.02,14.38,14.02
10/02/2020,13.9,560429,13.94,14.11,13.76
10/01/2020,14.1,574320,14,14.25,13.85
09/30/2020,13.81,1090314,13.79,14.02,13.59
09/29/2020,13.96,1117076,13.82,14.06,13.69
09/28/2020,13.59,916000,13.73,13.83,13.42
09/25/2020,13.44,506681,13.43,13.56,13.21
09/24/2020,13.59,1628831,12.8,13.79,12.79
09/23/2020,13.1,2102703,14.02,14.1299,12.98
09/22/2020,14.43,785844,14.43,14.53,14.18
09/21/2020,14.42,2102229,14.75,15.05,14.09
09/18/2020,15.4,593590,15.6,15.8,15.34
09/17/2020,15.62,645285,15.26,15.67,15.07
09/16/2020,15.76,731025,15.9,16,15.56
09/15/2020,15.7,1062617,16,16.09,15.5001
09/14/2020,15.73,927541,15.23,15.73,15.18
09/11/2020,14.93,724471,15.31,15.505,14.86
09/10/2020,15.2,1408816,15.71,15.795,15.1
09/09/2020,15.5,806251,15.01,15.51,15
09/08/2020,14.89,1200915,14.6,15.23,14.35
09/04/2020,15.19,965555,15.36,15.385,14.41
09/03/2020,15.3,1148938,15.32,15.56,14.7633
09/02/2020,15.49,1188813,15.61,15.68,14.91
09/01/2020,15.82,1682716,16.4,16.4496,15.5307
08/31/2020,16.01,1941673,15.88,16.17,15.69
08/28/2020,15.64,1866708,15.33,15.75,15.22
08/27/2020,14.92,1748957,15.53,15.5864,14.56
08/26/2020,15.2,1639305,14.35,15.2008,14.3
08/25/2020,14.53,1202334,14.64,14.64,14.06
08/24/2020,14.63,1137392,15.02,15.05,14.52
08/21/2020,14.81,1430383,14.93,15.02,14.63
08/20/2020,15.31,1207263,14.95,15.34,14.85
08/19/2020,15.02,1276466,15.48,15.57,14.89
08/18/2020,15.62,1246311,16.23,16.26,15.381
08/17/2020,15.8,1266654,15.67,15.8,15.37
08/14/2020,15.04,1029732,15.08,15.24,14.73
08/13/2020,15.24,1993832,14.81,15.44,14.74
08/12/2020,14.53,1449263,14.85,14.91,14.51
08/11/2020,14.39,2817522,14.89,15.15,14.3
08/10/2020,15.91,1535025,16.11,16.62,15.809
08/07/2020,15.8,1990097,16.18,16.33,15.49
08/06/2020,16.57,2860377,17.19,17.19,16.2
08/05/2020,16.62,2627260,17.03,17.21,16.3204
08/04/2020,16.45,2047227,15.52,16.47,15.44
08/03/2020,15.52,1316841,15.58,15.63,15.09
07/31/2020,15.59,1660943,15.54,15.72,15.38
07/30/2020,15.1,1807081,15.11,15.59,14.87
07/29/2020,15.71,1721994,15.86,16.02,15.35
07/28/2020,15.85,1939086,15.84,16.23,15.6401
07/27/2020,16.11,3679794,16.24,16.46,15.8601
