Date,Close/Last,Volume,Open,High,Low
05/11/2021,233.25,6746532,225.97,233.79,225.27
05/10/2021,232.8,5316996,241.1,241.1,232.38
05/07/2021,243.6,5385791,243.57,245.5,241.37
05/06/2021,240.21,6425584,237.75,240.63,235.52
05/05/2021,238.25,4935796,239.783,241.29,236.95
05/04/2021,237.2,7312695,237.51,237.92,232.8
05/03/2021,240.18,4538965,244.58,244.8,239.42
04/30/2021,243,4555803,246.06,247.46,242.39
04/29/2021,250.24,3960796,251.2,251.36,246.18
04/28/2021,247.95,3391224,251.19,251.19,247.64
04/27/2021,251.98,3459793,254.1,254.41,250.88
04/26/2021,253.46,2770799,249.47,253.53,249.21
04/23/2021,249.2,3207544,244.77,249.64,244.55
04/22/2021,243.6,4126640,249,249.35,242.07
04/21/2021,249.11,4940109,243.24,249.28,242.1
04/20/2021,242.71,4818308,245.3,246.21,241.45
04/19/2021,246.16,5118761,250.51,251.43,243.79
04/16/2021,252.41,3607486,253.55,253.92,251.71
04/15/2021,253.4,4069393,252.94,253.87,250.22
04/14/2021,250.19,3612286,252.75,254.3,249.02
04/13/2021,252.61,3692043,255.144,255.58,250.74
04/12/2021,253.11,3411667,254.84,254.84,250.89
04/09/2021,256.08,2695610,254.988,256.08,253.73
04/08/2021,256.68,3399695,256.42,256.68,254.42
04/07/2021,253.05,3962964,253.68,254.6099,251.495
04/06/2021,253.63,5902456,255.45,256.49,251.16
04/05/2021,257.15,4892348,257.05,257.54,253.38
04/01/2021,252.94,5655107,248.04,252.95,248.03
03/31/2021,243.55,5066102,238.77,244.88,238.77
03/30/2021,236.75,3338199,236.66,237.71,234.53
03/29/2021,237.77,6272136,239.368,239.9,234.91
03/26/2021,241.64,7631198,230.77,241.701,230.15
03/25/2021,230.1,6763985,226.22,230.82,224.41
03/24/2021,229.26,4462486,236.84,237.32,229.135
03/23/2021,233.26,4519338,239.53,239.53,232.2242
03/22/2021,239.25,4913669,236.83,241.82,236.15
03/19/2021,233.68,7075560,231.39,235.72,228.8
03/18/2021,231.05,4467409,237.2,237.56,230.83
03/17/2021,240.69,5146174,234.71,242.58,233.03
03/16/2021,238.45,4623560,238.23,241.82,236.71
03/15/2021,235.87,3438170,232.22,235.87,230.33
03/12/2021,230.89,3724592,229.5,231.4,227.75
03/11/2021,233.81,4478668,231.262,234.93,230.07
03/10/2021,224.38,6313705,232.54,232.54,224.21
03/09/2021,229.03,7103571,224.205,230.52,223.3
03/08/2021,216.22,7807262,227.54,228.56,216.14
03/05/2021,228.79,7383328,227.39,229.25,216.91
03/04/2021,221.68,9027394,231.77,233.39,218.36
03/03/2021,232.99,4517539,240.86,241.55,232.75
03/02/2021,240.57,3848648,248.68,248.68,240.36
03/01/2021,248.2,3559450,244.69,248.25,242.36
02/26/2021,240.95,5156348,240.13,242.89,234.92
02/25/2021,236.08,6155945,247.04,248.29,235.23
02/24/2021,250.02,4645493,239.97,250.05,238.44
02/23/2021,242.23,4746175,239.95,243.88,232.88
02/22/2021,244.58,3376471,250.53,251.86,243.67
02/19/2021,253.86,4329420,252.297,255.81,251.2
02/18/2021,248.49,3032671,248.24,249.6,245.3
02/17/2021,251.16,3668995,253.47,254.48,248.02
02/16/2021,256.12,3473869,257.98,258.59,254.66
02/12/2021,254.56,3400396,251.07,255.0399,249.55
02/11/2021,251.97,5169973,245.69,251.995,245.55
02/10/2021,242.97,3740581,244.5,245.89,239.99
02/09/2021,242.35,1608078,242.05,244.23,241.23
02/08/2021,243.07,4484566,237.52,243.095,237.19
02/05/2021,235.21,2460291,238.44,238.49,234.88
02/04/2021,236.93,2947868,233.69,236.93,232.34
02/03/2021,234.22,3239887,239.82,239.82,234.01
02/02/2021,238.71,4338694,239.1708,239.1708,235.8035
02/01/2021,235.49,2718920,230.14,235.8401,229.49
01/29/2021,226.61,4041838,231,231.82,225.57
01/28/2021,230.82,3976809,231.159,234.37,228.78
01/27/2021,226.09,5791795,232.88,232.88,224.93
01/26/2021,237.7,2696497,241.46,241.6,237.64
01/25/2021,241.88,3524234,243.17,243.69,236.97
01/22/2021,240.93,2754351,243,244.28,240.79
01/21/2021,245.55,3608928,244.93,246.14,241.88
01/20/2021,241.81,3154923,246.08,246.79,241.29
01/19/2021,242.82,3072243,239.25,243,237.97
01/15/2021,234.76,3828447,238.8,239.19,232.71
01/14/2021,239.42,3302848,237.06,242.87,236.78
01/13/2021,233.61,2214021,236.5,236.63,232.5
01/12/2021,234.88,3187570,235.82,236.75,232.54
01/11/2021,233.79,3133497,229.44,235.35,228.9792
01/08/2021,230.34,3364034,235.12,235.925,227.86
01/07/2021,231.17,2622330,225.8,231.66,225.8
01/06/2021,222.01,3844630,220.83,226.21,219.94
01/05/2021,222.69,2319507,218.45,222.9,218.45
01/04/2021,218.86,4650294,220.55,225,216.56
12/31/2020,218.42,1431548,217.96,218.54,216.27
12/30/2020,217.85,1054423,215.15,218.1,215.15
12/29/2020,213.9,2248970,215.68,215.79,211.922
12/28/2020,214.44,1222867,217.282,217.49,214.24
12/24/2020,214.87,571449,213.2,214.91,213.2
12/23/2020,212.59,1330034,214.5,215.23,212.47
12/22/2020,214.19,1846954,214.91,214.92,212.35
12/21/2020,214.57,2130379,212.36,214.69,210.8
12/18/2020,217.16,3410560,218.19,218.55,215.775
12/17/2020,217.91,1125420,219.33,219.4,217.08
12/16/2020,217.96,1268149,218.96,218.96,216.26
12/15/2020,218.05,2514697,217.39,218.62,216.4
12/14/2020,214.68,2173256,214.4,215.935,213.54
12/11/2020,212.51,2075821,212.82,214.19,210.4137
12/10/2020,214.25,2119703,212.17,215.69,211.36
12/09/2020,214.09,3587582,219.79,220.63,212.67
12/08/2020,220.93,1863013,220.53,221.79,219.13
12/07/2020,220.64,2075330,220.82,220.9,218.69
12/04/2020,219.39,2683489,214.46,219.39,214.07
12/03/2020,213.17,2302559,214.62,215.66,212.92
12/02/2020,213.25,2654494,212.32,213.95,211.4
12/01/2020,212.4,3369053,210.63,214,209.75
11/30/2020,208.61,4266263,206.76,210.55,203.98
11/27/2020,206.42,1842276,205.1,207.57,205.1
11/25/2020,203.69,1797821,203.9,205,202.85
11/24/2020,203.7,1954945,204.39,204.48,200.77
11/23/2020,203.06,2519952,201.51,203.95,200.79
11/20/2020,199.98,1789657,201.41,202.63,199.76
11/19/2020,201,2197409,197.37,201.19,196.67
11/18/2020,198.41,3832615,200.46,201.36,198.32
11/17/2020,199.4,1715113,201.25,201.25,198.491
11/16/2020,201.72,2386703,197.74,202.31,197.42
11/13/2020,196.2,2437524,195.84,197.73,194.88
11/12/2020,193.35,3202772,195.69,196.68,192.47
11/11/2020,195.46,2687692,192,195.95,191.83
11/10/2020,188.82,3451594,193.7,193.75,188.37
11/09/2020,194.85,5390618,201.82,202.89,194.65
11/06/2020,197,3151804,193.69,197.585,192.6
11/05/2020,193.99,3022747,191.404,194.27,191.01
11/04/2020,186.58,3911259,183.9,187.24,181.6163
11/03/2020,179.98,2945087,177.83,181.265,177.71
11/02/2020,176.31,1939263,176.51,177.86,174.61
10/30/2020,174.95,2423720,175.79,177,173.06
10/29/2020,177.94,2297111,173.87,179.51,173.36
10/28/2020,173.65,4578174,176.36,176.59,173.27
10/27/2020,179.44,1876054,181.52,181.94,178.7
10/26/2020,180.06,3232627,182.57,183.25,177.87
10/23/2020,184,1666040,184.23,184.23,182.25
10/22/2020,184.44,1573580,184.59,185.29,182.33
10/21/2020,184.51,2445333,186,186.71,184.32
10/20/2020,185.7,2497289,186.85,187.17,185.09
10/19/2020,185.55,2319309,187.85,189.09,184.82
10/16/2020,186.47,1733499,189.02,189.02,186.32
10/15/2020,187.64,1328122,184.91,187.9,184.4
10/14/2020,188.37,2147117,190.18,190.54,187.2
10/13/2020,189.37,1591577,190.07,190.95,188.58
10/12/2020,189.94,2303293,189.24,190.72,188.11
10/09/2020,186.65,2655068,186.27,187.1,185.4
10/08/2020,183.5,1886613,183.24,183.74,182.36
10/07/2020,181.28,1733806,180.16,181.77,180.12
10/06/2020,177.48,5250100,178.62,181.61,176.78
10/05/2020,179.05,1916117,174.79,179.05,174.65
10/02/2020,173.15,3139686,174.53,176.95,173.08
10/01/2020,178.5,2362427,177.53,179.08,176.6473
09/30/2020,174.2,2891105,174.13,176.19,173.4462
09/29/2020,174.46,3215696,173.13,175.57,173.13
09/28/2020,173.54,1959342,171.857,173.68,170.46
09/25/2020,169.24,2538363,166.86,169.76,164.92
09/24/2020,167.3,3193082,164.3,169.61,164.1
09/23/2020,165.85,2426081,169.9,170.65,165.25
09/22/2020,169.73,1607121,169.35,170.03,166.36
09/21/2020,168.35,4005867,165.43,168.36,164.03
09/18/2020,168.27,2754624,171.84,172.18,166.2413
09/17/2020,170.85,2186980,166.52,171.1241,166.21
09/16/2020,171.24,1935323,174.48,174.74,170.97
09/15/2020,173.37,3848121,172.18,174.48,171.7739
09/14/2020,169.8,2274843,169.95,171.01,168.53
09/11/2020,166.06,2389916,167.8,169.37,164.47
09/10/2020,166.38,2919004,170.481,171.31,165.4
