Date,Close/Last,Volume,Open,High,Low
05/11/2021,32.11,29951280,29.02,32.31,28.69
05/10/2021,31.93,25439750,36,36,31.88
05/07/2021,36.93,16784570,36.51,37.55,35.911
05/06/2021,35.4,15387320,34.2,35.4,33.16
05/05/2021,34.55,7952189,35.07,35.79,33.7499
05/04/2021,33.97,24427980,34.41,34.45,32
05/03/2021,35.61,13899920,37.72,37.789,35.0793
04/30/2021,36.9,19385840,38.347,39.17,36.56
04/29/2021,40.31,14812520,41.2,41.22,38.48
04/28/2021,39.42,12753570,40.68,40.69,39.31
04/27/2021,41.34,12557180,42.78,42.91,40.955
04/26/2021,42.21,13528460,40.09,42.455,40
04/23/2021,40.15,13252200,38.32,40.57,38.3
04/22/2021,37.98,20962130,40.37,40.61,37.27
04/21/2021,40.75,15160170,37.93,40.77,37.34
04/20/2021,37.71,13892050,39.01,39.53,37.0398
04/19/2021,39.6,20268200,41.77,42.29,38.25
04/16/2021,42.75,11016240,43.51,43.64,42.481
04/15/2021,43.47,13642030,42.35,43.66,41.62
04/14/2021,41.27,12838650,42.39,43.47,40.63
04/13/2021,42.69,14056430,44,44.13,41.57
04/12/2021,43.09,14926030,43.72,43.79,41.8
04/09/2021,44.48,10748470,43.83,44.5,43.13
04/08/2021,44.79,12957080,44.75,45,43.6
04/07/2021,43.38,12421780,43.99,44,42.34
04/06/2021,43.38,17961530,44.119,44.97,42.07
04/05/2021,45,26445830,44.525,45.3,42.9086
04/01/2021,42.41,27795510,40.05,42.44,40.05
03/31/2021,38.21,25362450,36.43,38.98,36.35
03/30/2021,35.52,17925990,35.12,35.78,34.285
03/29/2021,35.79,28422650,36.384,36.91,34.5
03/26/2021,37.69,35670260,32.81,37.74,32.71
03/25/2021,32.81,30291420,30.93,33.1799,30.1
03/24/2021,32.59,26195900,35.63,36.13,32.55
03/23/2021,34.03,26947020,37.37,37.5,33.51
03/22/2021,37,23763830,35.94,38.2,35.62
03/19/2021,34.75,20614970,34.0097,35.6501,32.38
03/18/2021,33.71,25847350,36.76,36.92,33.45
03/17/2021,38.42,21743540,35.28,39.15,34.51
03/16/2021,36.98,27404930,36.83,38.59,36.23
03/15/2021,35.57,15448800,33.8,35.63,33.18
03/12/2021,33.42,17047630,32.52,33.59,31.85
03/11/2021,34.47,19094330,33.3,35.04,32.85
03/10/2021,30.72,19953540,34.19,34.19,30.62
03/09/2021,32.45,19994850,30.34,33.08,30
03/08/2021,27.52,28761180,32.71,32.93,27.5
03/05/2021,32.75,30945780,32.22,32.96,27.73
03/04/2021,29.98,34294340,34.83,35.19,28.44
03/03/2021,35.01,21749020,38.9,38.99,34.82
03/02/2021,38.55,19687670,42.94,42.99,38.45
03/01/2021,42.558,24584283,40.592,42.558,39.5501
02/26/2021,38.7107,29536965,37.9434,39.7007,35.8034
02/25/2021,36.2187,35817402,42.0674,43.0094,35.7034
02/24/2021,43.7454,17963721,38.9827,43.8334,38.0667
02/23/2021,39.9787,27033631,38.4967,40.744,35.0691
02/22/2021,40.8067,22419514,44.0034,44.936,40.18
02/19/2021,45.7987,23601918,44.6447,46.518,44.2233
02/18/2021,42.6854,15629122,42.2034,43.266,41.0207
02/17/2021,44.0107,19385420,45.1,45.7414,42.1387
02/16/2021,46.582,14366363,47.3367,47.8527,45.8106
02/12/2021,45.772,15842002,43.488,46.0134,43.004
02/11/2021,44.1647,20780705,40.8847,44.1647,40.8847
02/10/2021,39.9967,15432082,40.6667,41.312,38.377
02/09/2021,39.622,8659856,39.6364,40.54,39.0434
02/08/2021,40.1334,17277741,37.4614,40.1334,37.4452
02/05/2021,36.7227,8242436,38.3334,38.3334,36.5854
02/04/2021,37.538,8400476,36.337,37.6073,35.5294
02/03/2021,36.6327,14184698,39.4667,39.7967,36.5714
02/02/2021,39.048,10789750,39.1327,39.16,37.4667
02/01/2021,37.348,13748783,35.086,37.527,34.6367
01/29/2021,33.4007,15256042,35.3374,35.8216,32.9007
01/28/2021,35.134,16110682,35.0007,36.5767,34.1734
01/27/2021,33.144,25056542,36.8667,37.0487,32.5387
01/26/2021,39.0554,7640711,41.0467,41.0467,39
