Date,Close/Last,Volume,Open,High,Low
05/11/2021,72.99,2652589,68.19,73.68,67.69
05/10/2021,72.1,1892926,75.13,75.13,71.63
05/07/2021,75.15,1811658,75.83,77.52,74.701
05/06/2021,74.45,2342051,75.66,75.95,73.17
05/05/2021,76.22,1070965,77.82,77.84,75.69
05/04/2021,77.2,2940175,79.8,79.81,76.25
05/03/2021,82.1,1663623,83.45,83.78,81.7
04/30/2021,83.15,1121382,84.76,84.8704,83.01
04/29/2021,86.3,1449382,88.53,88.74,84.93
04/28/2021,88.12,1437024,88.55,88.8,86.76
04/27/2021,90.83,1808582,91.87,91.92,90.22
04/26/2021,91.88,1857231,91.08,91.95,89.18
04/23/2021,90.94,2162043,89.41,91.35,88.88
04/22/2021,88.1,3629984,87.65,89.77,87.14
04/21/2021,85.1,1803361,81.88,85.6,81.02
04/20/2021,82.29,1532438,82.78,83.98,80.98
04/19/2021,82.75,1721158,86.21,86.56,82.19
04/16/2021,85.49,1420180,83.74,85.9499,83.56
04/15/2021,83.24,1700302,85.64,85.74,82.4
04/14/2021,85.01,1495209,86.35,87.57,84.5201
04/13/2021,85.71,1482808,84.64,85.85,83.83
04/12/2021,84.71,1912507,85.8,85.86,83.41
04/09/2021,86.46,1008968,85.61,86.92,84.98
04/08/2021,86.9,1061758,87.31,88.129,86.63
04/07/2021,86.48,1577394,89.03,89.11,86.05
04/06/2021,89.27,1784541,88.2,90.8976,88.12
04/05/2021,88.16,2711700,93.03,93.05,87.16
04/01/2021,90.68,2868197,93.77,94.2399,90.45
03/31/2021,91.77,2135289,90.53,92.63,89.83
03/30/2021,89.27,2682373,84.19,89.45,84.1
03/29/2021,84.23,1496397,87.24,87.31,83.15
03/26/2021,88.02,2159846,86.1,88.11,84.75
03/25/2021,85.19,2176551,81.85,85.42,81.07
03/24/2021,84.5,1734554,88.91,88.9973,84.06
03/23/2021,88.59,1388274,91.08,91.93,87.65
03/22/2021,91.47,1711836,91.27,92.68,89.81
03/19/2021,89.58,2550971,88.19,90.18,86.01
03/18/2021,86.97,2932667,91.11,91.59,86.42
03/17/2021,93.1,1607229,90.96,94.27,89.52
03/16/2021,94.36,1898578,96.13,97.75,92.88
03/15/2021,96.37,1784685,95.5,97.222,94.73
03/12/2021,97.3,1737603,93.98,97.99,93.02
03/11/2021,98.77,2520374,95.77,99.159,94.45
03/10/2021,90.34,2651139,96.22,96.87,89.65
03/09/2021,91.55,2906317,88.01,92.702,87.1001
03/08/2021,81.15,4284964,84.88,87.5,81
03/05/2021,87.48,4731080,91.0274,91.0274,80.8
03/04/2021,89.14,3876731,93.57,95.198,86.11
03/03/2021,94.5,2899734,100.82,101.515,94.2902
03/02/2021,101,1966162,105.31,105.6451,101
03/01/2021,107.07,1814078,104.91,107.25,103.795
02/26/2021,101.32,2529659,99.02,102.35,96.69
02/25/2021,97.65,2632795,102.65,104.19,96.44
02/24/2021,103.34,3464100,100.01,103.5,95.86
02/23/2021,100.56,4984315,96.17,101.12,91.514
02/22/2021,100.95,3808197,106.83,106.845,100.63
02/19/2021,110.64,2049456,111.34,113.2,110.26
02/18/2021,108.29,3400508,110.34,110.9499,106.4
02/17/2021,115.7,2374780,117.65,117.65,113.16
02/16/2021,118.45,1919785,122.69,123.2179,117.4
02/12/2021,121.32,869403,119.65,121.77,117.7
02/11/2021,121.35,848020,121.14,122.14,119.71
02/10/2021,119.71,2426769,123.34,125.05,118.3
02/09/2021,121.94,2631968,119.15,122.2,119.14
02/08/2021,118.99,1565418,117.3,120.545,117.3
02/05/2021,116.69,1536178,115.6,117.15,113.4
02/04/2021,115.04,1503801,117.25,117.34,114.3
02/03/2021,116.56,1558564,116.22,117.2199,114
02/02/2021,115.89,2661192,115.12,116.15,113.46
02/01/2021,110.5,2202540,110.18,110.67,106.9123
01/29/2021,108.69,2251102,112,113.7,106.81
01/28/2021,112.18,2555318,110.75,113.36,108.29
01/27/2021,110.5,3464229,112.26,114.15,108.8
01/26/2021,117.6,1950670,120,121.03,116.43
01/25/2021,119,3246281,123,125.9799,116.66
01/22/2021,121.11,2713278,118.68,121.19,117.5
01/21/2021,121.43,4076869,116.67,121.6388,113.93
01/20/2021,114.78,2671611,115.39,117.0899,113.3203
01/19/2021,114,2844169,111.74,114.01,110.95
01/15/2021,106.89,4281249,113.61,113.61,106.88
01/14/2021,115.23,2426244,115.76,117.2177,114.3
01/13/2021,114.46,1810390,116.16,116.26,113.04
01/12/2021,115.63,2414841,117.22,117.72,113.45
01/11/2021,115.61,3380269,115.28,117.09,112.3
01/08/2021,119.13,3866072,123.48,123.6552,116.81
01/07/2021,121.55,4922481,121.63,123.45,119.17
01/06/2021,115.27,7216546,112.95,119.2699,111.7
01/05/2021,106.07,2112839,103.8,106.89,103.72
01/04/2021,104.96,2978151,105.74,107.45,103
12/31/2020,102.76,1220786,103.18,103.875,101.57
12/30/2020,102.35,1384975,100.7,103.15,100.58
12/29/2020,99.27,2647580,102.97,103,97.64
12/28/2020,102.64,2153958,106.19,107.45,101.71
12/24/2020,102.8,1408817,103.98,104.4,101.62
12/23/2020,104,2541343,106.45,107.33,103.5163
12/22/2020,103.13,3222919,100.77,104.39,100.53
12/21/2020,99.58,2335719,95.07,99.59,94.7
12/18/2020,96,2207774,94.76,98.24,94
12/17/2020,93,1326120,93.87,94.38,91.88
12/16/2020,92.12,1760385,91.81,92.42,89.49
12/15/2020,92.98,2866219,87.23,93.13,87.14
12/14/2020,86.04,1340571,85.75,86.46,84.4411
12/11/2020,83.8,1157301,82.57,85.4341,82.38
12/10/2020,82.01,885940,80.59,82.5,80.23
12/09/2020,80.21,1831702,84.24,84.35,79.21
12/08/2020,84.23,971141,82.69,84.5802,82.592
12/07/2020,82.56,919975,81.81,83.6925,81.81
12/04/2020,81.42,938639,81.43,82.54,80.87
12/03/2020,80.99,1554243,82.94,82.99,80.88
12/02/2020,82.12,1439734,81.75,82.98,79.67
12/01/2020,83.4,1348198,85.7,86,83.12
11/30/2020,84.58,1847807,87.8,88.35,83.02
11/27/2020,85.42,1292729,84.8,87.28,84.6017
11/25/2020,84.25,1479846,82.28,84.8362,82.05
11/24/2020,83.03,2853627,82.59,83.76,80.3001
11/23/2020,80.68,1806130,80,80.77,78.57
11/20/2020,78.02,1577734,76.83,78.74,76.61
11/19/2020,76.21,899491,75.41,76.255,74.77
11/18/2020,74.71,954251,75.98,76.4812,74.47
11/17/2020,75.31,1291272,74.67,75.59,73.52
11/16/2020,74.26,1017850,74.16,74.87,73.09
11/13/2020,73.64,952805,74.72,74.88,73.112
11/12/2020,73.68,1627808,75.91,76.13,73.19
11/11/2020,74.83,1523989,72.94,75.24,72.7421
11/10/2020,71.5,2633044,73.67,74,70.4
11/09/2020,74.16,3014022,80.86,80.86,74
11/06/2020,75.55,2505549,77.1,77.76,74.75
11/05/2020,75.46,4613819,71.51,75.69,71.5
11/04/2020,67.74,4511022,66.52,68.5,64.48
11/03/2020,69.16,2465905,69.56,70.16,68.6
11/02/2020,71,2250819,69.79,71.35,69.3001
10/30/2020,68.77,1473654,70.1,70.24,67.45
10/29/2020,70.78,1481861,70.5,71.36,69.8
10/28/2020,69.06,1506532,67.93,69.99,67.75
10/27/2020,68.27,1278805,69.54,70.25,67.74
10/26/2020,69.63,1836036,69.97,71.1,68.17
10/23/2020,71.12,1258375,72.25,73.0843,70.18
10/22/2020,71.08,2678394,71.25,71.42,68.165
10/21/2020,71.22,3913714,77.53,77.68,71.2
10/20/2020,77.73,2354063,75.79,78.36,75.3
10/19/2020,74.63,1747072,74.05,75.84,73.14
10/16/2020,73.51,1866232,74.58,74.97,72.952
10/15/2020,73.56,1859032,72.8,73.89,72
10/14/2020,75.13,1468950,74.79,75.699,74.1
10/13/2020,74.04,1490839,72.61,75.16,72.36
10/12/2020,73.12,3027262,76.27,76.27,72.25
10/09/2020,75.66,2150008,73.93,76.36,73.28
10/08/2020,75,3998900,77.5,77.5,74.23
10/07/2020,75.18,2893499,72.81,75.5199,72.8
10/06/2020,71.32,3155234,71.44,72.6,70.06
10/05/2020,70.55,2379336,68.35,70.55,68.0264
10/02/2020,66.59,1618554,65.44,67.98,65.1
10/01/2020,67.18,1545165,66.02,67.18,65.17
09/30/2020,64.79,1715141,63.37,65.7611,63.1145
09/29/2020,62.52,1342101,61.33,62.8,61.19
09/28/2020,60.54,1478798,58.99,60.57,58.7
09/25/2020,57.64,728208,55.24,57.66,55.02
09/24/2020,55.77,946699,55.62,56.36,54.23
09/23/2020,56.29,647329,56.34,57.69,56.081
09/22/2020,55.45,308428,55.19,55.49,54.21
09/21/2020,55.19,621212,53.27,55.2,52.8918
09/18/2020,55.22,464468,55.66,56.31,54.68
09/17/2020,54.81,451187,55.57,55.63,54.37
09/16/2020,56.66,876575,56.86,57.5999,56.34
09/15/2020,56.48,695093,55.87,56.75,55.6
09/14/2020,55,576092,53.73,55.14,53.59
09/11/2020,52.72,386398,53.11,53.59,52.125
09/10/2020,51.93,820524,53.21,53.38,51.69
09/09/2020,53.21,801223,52.43,53.3636,52.09
09/08/2020,51.32,946778,49.84,52.26,49.49
09/04/2020,51.5,1693552,52.39,52.76,47.98
09/03/2020,52.59,2643985,56.19,56.28,52.041
09/02/2020,56.98,995987,57.63,57.95,55.7
09/01/2020,57.51,454411,56.97,57.595,56.6101
08/31/2020,56.79,749805,57.1,57.728,56.33
08/28/2020,56.86,1360167,55.5,57.19,55.27
08/27/2020,55.06,632206,55.26,55.67,54.68
08/26/2020,54.92,757746,55.14,55.72,54.77
08/25/2020,55.11,1102570,54.23,55.11,53.64
08/24/2020,53.5,622054,53.19,53.75,52.8703
08/21/2020,52.44,323182,52.01,52.6799,51.75
08/20/2020,52.01,340285,52.46,52.5,51.9339
08/19/2020,52.72,595238,52.34,53.47,52.3222
08/18/2020,52.36,465987,52.65,52.88,51.525
08/17/2020,52.35,454474,51.99,52.909,51.91
08/14/2020,51.56,503234,52.23,52.61,51.25
08/13/2020,52.41,625201,51.41,52.7569,51.33
08/12/2020,51.11,698872,49.96,51.58,49.77
08/11/2020,49.68,826723,51.72,51.82,49.47
08/10/2020,51.28,872123,51.31,52,50.86
08/07/2020,51.2,786502,50.31,52.0628,50.2901
08/06/2020,50.12,685231,50.73,51.229,49.62
08/05/2020,50.77,810635,49.17,50.86,48.69
08/04/2020,49.06,973306,47.24,49.1899,47.1
08/03/2020,46.05,1016183,45.12,46.18,44.712
07/31/2020,45.01,775852,45.33,45.42,44.5358
07/30/2020,45.05,234587,44.87,45.15,44.5201
07/29/2020,44.93,284979,44.97,45.34,44.6401
07/28/2020,44.76,347219,46.11,46.2,44.72
07/27/2020,46.31,502636,45.39,46.39,45.3541
07/24/2020,44.93,511227,45.39,45.39,43.98
07/23/2020,46.15,590313,45.94,46.93,45.455
07/22/2020,45.73,326121,45.32,45.89,45.2
07/21/2020,45.52,1075527,46.45,46.45,45.141
07/20/2020,45.65,847532,44.41,46.07,44.26
07/17/2020,43.89,568831,43.22,43.9,42.9259
07/16/2020,42.88,709938,43.26,43.42,42.61
07/15/2020,43.83,1494977,43.62,44.0699,43.06
07/14/2020,43.01,751516,40.73,43.05,40.31
07/13/2020,41.02,677580,41.82,43.07,40.97
07/10/2020,41.37,445221,41.38,41.42,40.84
07/09/2020,41.39,615503,41.97,42.08,40.68
07/08/2020,41.58,443139,40.03,41.63,40
07/07/2020,39.7,464262,39.37,40.24,39.1301
07/06/2020,39.24,733527,38.22,39.26,38.22
07/02/2020,37.34,294572,37.34,37.85,37.175
07/01/2020,36.78,422486,36.18,36.97,36.12
06/30/2020,36.1,180849,35.91,36.22,35.84
06/29/2020,36.03,196665,35.35,36.06,35.07
06/26/2020,34.89,319959,35.76,35.76,34.85
06/25/2020,35.91,211820,35.64,35.92,35.26
06/24/2020,36.01,366287,35.95,36.26,35.2511
06/23/2020,36.01,267742,35.87,36.19,35.77
06/22/2020,35.36,157120,35.41,35.4768,34.9
06/19/2020,35.16,253854,35.4,36.0299,35.11
06/18/2020,34.94,245200,34.25,35.21,34.25
06/17/2020,34.01,442845,35.56,35.63,33.94
06/16/2020,35.47,272858,35.82,36.109,35.07
