Date,Close/Last,Volume,Open,High,Low
05/11/2021,66.32,216466,65.48,66.8,64.26
05/10/2021,67.48,289768,69.75,69.75,67.14
05/07/2021,68.57,259055,66.41,68.625,65.87
05/06/2021,65.95,259670,66.44,66.94,65.1
05/05/2021,65.01,161858,64,65.35,63.01
05/04/2021,62.33,187343,62.98,63.46,62
05/03/2021,62.63,208854,60.19,62.71,59.85
04/30/2021,59,164885,59.19,59.6499,58.4693
04/29/2021,58.84,198949,59.72,60.28,58.05
04/28/2021,58.66,83124,56.72,58.7299,56.4
04/27/2021,56.39,87642,56.2,56.91,56
04/26/2021,56.32,119868,55.9,56.68,55.9
04/23/2021,55.53,31773,55,55.79,54.9849
04/22/2021,54.6,78746,56.26,56.26,54.47
04/21/2021,56,136350,55.03,56.115,54.895
04/20/2021,54.85,105844,55.94,55.94,53.3567
04/19/2021,55.82,99501,57.72,57.72,55.32
04/16/2021,56.98,109459,57.88,58,56.2
04/15/2021,57.35,153925,58.59,58.59,56.9001
04/14/2021,57.18,148573,58.32,58.99,57.0551
04/13/2021,57.55,110019,57.92,58.4499,57.05
04/12/2021,58.4,168535,61.25,61.25,58.03
04/09/2021,61.25,65042,62.22,62.38,61.0601
04/08/2021,61.98,106293,60.3,61.99,60.3
04/07/2021,61,104045,62.79,63.28,60.5101
04/06/2021,61.96,140838,63.15,64,61.5606
04/05/2021,62.98,292118,61.14,63,60
04/01/2021,58.93,106772,57.16,59.14,56
03/31/2021,55.43,121438,55.62,57.2193,55.17
03/30/2021,56.17,205484,56.39,56.69,55.2501
03/29/2021,57.08,87697,57.9,57.9,55.75
03/26/2021,57.5,106208,56.28,57.96,56
03/25/2021,55.91,119024,56.01,56.1,54.1458
03/24/2021,56.58,139666,57.64,58,56.02
03/23/2021,56.79,180742,59.76,59.76,56.57
03/22/2021,59.76,100620,60.86,60.9999,59.72
03/19/2021,60.11,102953,61.02,61.02,58.77
03/18/2021,60.74,131887,63,63.84,60.5
03/17/2021,62.49,163473,62.16,62.7128,60.5
03/16/2021,62.67,291792,61.79,64,61.23
03/15/2021,60.13,173737,58.26,60.13,57.59
03/12/2021,57,57796,55.32,57.34,55.3001
03/11/2021,55.69,138104,55.05,55.74,54.25
03/10/2021,53.455,57376,54.52,54.58,53.03
03/09/2021,54.34,84559,53.63,54.8499,53.4963
03/08/2021,52.4,79810,53.7,54.07,52
03/05/2021,53.45,194546,54.2,54.99,50.65
03/04/2021,54.13,209642,57.92,57.92,53.211
03/03/2021,58.13,246431,58.74,60,57.6
03/02/2021,57.49,269945,55.06,57.58,54.74
03/01/2021,54.73,267703,56.11,56.3,54.1
02/26/2021,53.43,212496,55.88,55.88,52.45
02/25/2021,56.07,227671,56.77,57.69,55.5017
02/24/2021,56.12,318451,55,56.33,54.0301
02/23/2021,55.85,118665,57.06,57.06,53.4
02/22/2021,57.44,132294,57.45,58.2456,57.1001
02/19/2021,57.4,119203,56.37,57.76,55.8001
02/18/2021,55.48,158820,59.1,59.75,54.67
