Date,Close/Last,Volume,Open,High,Low
05/11/2021,76.63,3192081,78.19,78.3,75.98
05/10/2021,79.38,1410786,79.49,80.82,79.14
05/07/2021,79.38,1935082,78.34,79.47,77.46
05/06/2021,78.11,1855385,77.74,78.15,77.14
05/05/2021,77.42,940270,77.64,77.67,76.44
05/04/2021,77.26,1747005,76.71,77.28,76.161
05/03/2021,77.04,2377333,76.17,77.47,76.17
04/30/2021,75.35,1843033,76.26,76.26,75.11
04/29/2021,76.67,1461209,76.25,76.93,75.86
04/28/2021,75.82,1240930,76.2,76.33,75.6
04/27/2021,76.2,1754335,75.93,76.65,75.62
04/26/2021,75.49,1153674,75.59,75.7992,75.01
04/23/2021,75.12,1390291,74.06,75.3,73.77
04/22/2021,73.7,1768846,74.25,74.42,73.14
04/21/2021,73.93,2141990,73,74.115,72.79
04/20/2021,72.98,2624927,74.56,74.81,72.1
04/19/2021,74.64,3247525,75.1,75.23,74.005
04/16/2021,75.11,1679356,73.95,75.34,73.77
04/15/2021,73.52,1359864,73.83,73.83,73.19
04/14/2021,73.18,1275131,73.35,73.87,73.11
04/13/2021,73.39,999185,74.02,74.02,72.5996
04/12/2021,73.93,1568216,73.67,74.015,73.29
04/09/2021,73.75,1904912,71.95,73.76,71.95
04/08/2021,72.08,2013529,72.49,72.49,71.54
04/07/2021,72.04,1182646,73,73.06,71.9
04/06/2021,73.03,1300345,72.5,73.28,72.36
04/05/2021,72.4,1349964,72.41,72.47,71.65
04/01/2021,71.59,1783299,70.63,71.62,70.63
03/31/2021,70.37,2860918,71.13,71.22,70.29
03/30/2021,70.69,1742858,69.34,70.92,69.222
03/29/2021,69.55,2358973,70.99,71.67,69.49
03/26/2021,70.84,2715170,68.82,70.88,68.65
03/25/2021,68.35,2987383,66.04,68.55,65.74
03/24/2021,66.4,2134574,67.04,67.98,66.4
03/23/2021,66.62,1992597,68.08,68.49,66.32
03/22/2021,68.32,1648928,68.32,68.65,67.29
03/19/2021,68.08,1903862,67.21,68.53,66.8479
03/18/2021,67.19,2678713,67.86,68.89,67.02
03/17/2021,68.05,3960078,66.28,68.05,66.09
03/16/2021,66.81,2078893,67.49,67.93,66.71
03/15/2021,67.41,1549508,66.21,67.42,65.91
03/12/2021,66.09,1998895,65.65,66.23,65.22
03/11/2021,66.15,1519110,66.64,66.66,66.02
03/10/2021,65.88,2357896,64.75,66.41,64.4427
03/09/2021,64.33,2287493,65.19,65.41,64.3
03/08/2021,64.41,3818011,63.41,65.24,63.19
03/05/2021,63.18,3998948,61.58,63.34,59.95
03/04/2021,60.87,5905237,62.22,62.63,59.4401
03/03/2021,62.24,3188285,63.11,63.37,62.21
03/02/2021,63.43,2780386,63.47,63.72,62.84
03/01/2021,63.35,1893494,62.95,63.89,62.82
02/26/2021,62.04,3584340,61.53,62.74,61.06
02/25/2021,61.21,4689710,63.45,63.56,60.985
02/24/2021,63.79,1913752,62.99,63.84,62.34
02/23/2021,63.37,2407444,62.91,63.58,61.33
02/22/2021,63.44,1558922,64.05,64.375,63.38
02/19/2021,64.4,1567174,63.68,64.54,63.5411
02/18/2021,63.18,1000381,63.24,63.53,62.805
02/17/2021,63.55,2481278,63.28,63.73,62.73
02/16/2021,63.51,2495188,65.2,65.2,63.41
02/12/2021,65.06,1119441,64.92,65.49,64.81
02/11/2021,65.25,1771101,64.97,65.49,64.61
02/10/2021,64.53,2059682,64.77,65.01,63.595
02/09/2021,64.52,771461,64.84,64.87,64.43
02/08/2021,65.09,1217262,63.88,65.1,63.88
02/05/2021,63.61,1815433,62.77,63.67,62.67
02/04/2021,62.47,1346208,61.85,62.66,61.57
02/03/2021,61.69,1467695,61.96,62.27,61.17
02/02/2021,61.84,1138949,61.74,62.11,61.07
02/01/2021,61.24,1185454,60.75,61.37,60.03
01/29/2021,60.3,2835710,61.22,61.255,59.25
01/28/2021,61.41,2184674,61.5,61.915,61.01
01/27/2021,61.43,2989274,61.64,62.175,60.93
01/26/2021,62.6,1548625,63.76,64.13,62.415
01/25/2021,63.47,2616381,63.56,64.63,62.98
01/22/2021,63.56,1686684,62.84,63.65,62.38
01/21/2021,63.17,1496821,62.99,63.71,62.85
01/20/2021,62.73,5131513,61.45,63.01,61.23
01/19/2021,61.11,1008889,61.02,61.42,60.87
01/15/2021,60.49,1076486,60.23,60.73,59.6
01/14/2021,60.6,899727,60.57,61.19,60.25
01/13/2021,60.31,1120034,60.57,61.24,60.28
01/12/2021,60.42,1815242,59.54,60.44,59.315
01/11/2021,59.45,1593619,58.07,59.93,57.9713
01/08/2021,58.65,2645592,59.69,59.94,58.06
01/07/2021,59.65,2111559,58.54,59.795,58.41
01/06/2021,58.27,3382689,56.67,58.68,56.67
01/05/2021,57,3108597,56.49,57.3,56.49
01/04/2021,56.77,2651000,57.76,57.91,56.15
12/31/2020,57.64,1378466,58.08,58.11,57.34
12/30/2020,58.15,1457519,58.07,58.665,57.9978
12/29/2020,57.93,1928478,58.55,58.7601,57.43
12/28/2020,58.41,1710100,59.77,59.8499,58.39
12/24/2020,59.37,879429,58.77,59.41,58.52
12/23/2020,58.75,1286108,59.32,59.45,58.58
12/22/2020,59.16,1568480,59.21,59.515,58.79
12/21/2020,59.04,2249208,58.41,59.38,57.94
12/18/2020,59.41,1481019,59.28,59.72,59.03
12/17/2020,59.09,1882663,58.25,59.31,58.0065
12/16/2020,57.66,1739670,57.96,58.33,57.34
12/15/2020,57.74,2384120,56.85,57.77,56.85
12/14/2020,56.51,1870438,56.9,57.425,56.5
12/11/2020,56.54,1249989,56.37,56.96,56.3
12/10/2020,56.78,2735564,56.53,56.96,56.22
12/09/2020,56.91,3908842,57.12,57.52,56.55
12/08/2020,56.61,1969059,56.81,56.89,56.21
12/07/2020,57.12,2628673,56.76,57.235,56.35
12/04/2020,56.73,2102448,56.92,57.09,56.42
12/03/2020,56.9,1892694,56,57.2,55.89
12/02/2020,55.8,3674932,56.59,56.64,55.73
12/01/2020,56.91,2336746,57.86,57.86,56.8
11/30/2020,57.23,2137624,57.8,57.93,56.4
11/27/2020,57.92,815571,58.24,58.4801,57.72
11/25/2020,58.03,1870785,58.13,58.36,57.54
11/24/2020,58.22,1950950,59,59.08,58.11
11/23/2020,58.42,2033973,57.55,58.61,57.42
11/20/2020,57.15,1491326,57.31,57.67,56.835
11/19/2020,57.22,2525442,56.76,57.39,56.62
11/18/2020,56.8,1781849,57.02,57.5,56.76
11/17/2020,57.05,2268539,56.7,57.35,56
11/16/2020,56.93,2076304,56.55,57.14,55.91
11/13/2020,56.05,3449020,55.23,56.32,55.23
11/12/2020,54.72,3052731,55.6,55.96,54.23
11/11/2020,55.56,3712979,55.13,55.62,54.62
11/10/2020,54.74,4668668,53.85,55.12,53.43
11/09/2020,53.51,7020366,57.52,58.29,53.45
11/06/2020,56.71,3916201,57.12,57.23,56.35
11/05/2020,57.21,3352837,57.2,57.92,56.95
11/04/2020,56.37,4763050,55.16,56.82,55.0289
11/03/2020,54.9,2416873,54.45,55.23,54.18
11/02/2020,53.8,2574667,52.78,53.81,52.78
10/30/2020,51.98,3389216,52.66,53.41,51.48
10/29/2020,52.67,3670525,52.79,53.39,52.32
10/28/2020,52.63,4572476,52.34,53.45,52.07
10/27/2020,53.39,3201258,54.11,54.31,53.28
10/26/2020,54.01,3990926,55.12,55.24,53.45
10/23/2020,55.82,2524837,55.2,55.86,54.88
10/22/2020,54.99,3584903,55.7,55.75,54.47
10/21/2020,55.48,4042032,56.66,56.82,55.33
10/20/2020,56.54,3396004,56.53,57.41,56.35
10/19/2020,56.19,3422261,57.67,57.67,55.98
10/16/2020,57.32,2651632,57.98,58.34,57.32
10/15/2020,57.57,2462923,56.47,57.73,56.25
10/14/2020,57.16,2662778,57.42,57.75,56.92
10/13/2020,57.23,2176084,57.17,57.52,56.705
10/12/2020,57.31,1990316,57.3,57.455,56.97
10/09/2020,56.94,3003591,57.2,57.44,56.87
10/08/2020,56.63,2757837,56.1,56.65,55.93
10/07/2020,55.51,1729856,55.5,56.06,55.27
10/06/2020,54.8,3902578,56,56.19,54.69
10/05/2020,55.85,2763678,55.58,56.04,55.145
10/02/2020,55.1,3529469,53.66,55.44,53.5
10/01/2020,54.69,3473811,54.37,54.82,53.87
09/30/2020,53.88,3859742,53.2,54.53,53.2
09/29/2020,53.22,2744812,53.73,53.89,53.07
09/28/2020,53.63,2083439,52.67,53.77,52.66
09/25/2020,51.97,2313897,51.5,52.285,51.24
09/24/2020,51.83,4172652,51.31,52.55,50.8
09/23/2020,51.5,2822682,53.17,53.44,51.44
09/22/2020,53.09,2532772,52.2,53.21,52
09/21/2020,52.08,2975535,52.04,52.27,50.735
09/18/2020,53.16,2052413,53.76,54.12,52.7
09/17/2020,53.81,2718167,53.29,54.2,53.06
09/16/2020,54.2,2707028,53.71,54.815,53.55
09/15/2020,53.35,1808844,53.79,54.18,53.24
09/14/2020,53.44,2535894,53.13,53.52,52.84
09/11/2020,52.49,2660127,52.23,52.74,51.96
09/10/2020,51.87,4830264,52.68,52.86,51.705
09/09/2020,52.29,3203066,51.5,52.6,51.35
09/08/2020,51.04,3083744,50.6,51.9,50.23
09/04/2020,51.31,4114559,52.33,52.6811,50.19
09/03/2020,52.03,3322688,54.24,54.24,51.64
09/02/2020,54.29,3527321,54.21,54.5,53.23
09/01/2020,53.9,2677071,52.65,53.92,52.35
08/31/2020,52.75,2011953,53.45,53.59,52.71
08/28/2020,53.43,890767,53.53,53.92,53.31
08/27/2020,53.4,1856257,54.1,54.31,53.27
08/26/2020,54.06,1344152,54.24,54.35,53.83
08/25/2020,54.04,2050877,54.66,54.71,53.45
08/24/2020,54.31,1742138,54.29,54.355,53.78
08/21/2020,53.71,1391233,52.75,53.79,52.72
08/20/2020,52.9,1444152,52.69,53.27,52.41
08/19/2020,53.12,1893052,53.37,53.37,52.855
08/18/2020,53.22,1821953,53.92,53.95,53.1218
08/17/2020,53.38,2251958,52.67,53.55,52.48
08/14/2020,52.41,1940401,52.31,52.61,51.95
08/13/2020,52.41,1672970,52.17,52.68,51.96
08/12/2020,52.33,2350229,52.14,52.4,51.77
08/11/2020,51.59,2830450,52.36,52.49,51.5
08/10/2020,51.75,2185909,51.05,52.205,51.05
08/07/2020,51.01,1700866,50.66,51.03,50.451
08/06/2020,50.68,1691976,50.58,50.87,50.45
08/05/2020,50.66,1586559,50.25,50.735,50.06
08/04/2020,50.1,2146497,50.1,50.29,49.75
08/03/2020,50.27,1569852,49.85,50.48,49.68
07/31/2020,49.61,2709306,50.07,50.07,48.74
07/30/2020,49.85,2723060,49.63,50.1,49.18
07/29/2020,50.06,2432326,49.13,50.21,49.11
07/28/2020,48.73,3252509,49.95,50.18,48.635
07/27/2020,49.92,1809437,48.72,49.9833,48.52
07/24/2020,48.49,2777089,48.41,48.78,47.94
07/23/2020,48.55,4144139,49.08,49.53,48.01
07/22/2020,48.6,2809169,47.05,48.76,47.05
07/21/2020,47.19,2120256,47.27,47.42,46.95
07/20/2020,47.08,2239810,47.01,47.18,46.67
07/17/2020,47.06,2793908,47.35,47.56,46.9
07/16/2020,46.97,2260514,46.25,47.06,46.01
07/15/2020,46.45,2149814,46.23,46.69,45.73
07/14/2020,45.23,2778555,43.59,45.27,43.5
07/13/2020,43.81,2444492,44.83,45.3,43.7711
07/10/2020,44.43,1879514,43.94,44.64,43.79
07/09/2020,43.9,3021294,45.18,45.31,43.5
07/08/2020,45.05,2046855,44.29,45.09,44.21
07/07/2020,44.12,1168015,44.09,44.66,44.019
07/06/2020,44.52,1542482,44.24,44.65,44.02
07/02/2020,43.44,2656000,43.99,44.4,43.27
07/01/2020,43.25,1976311,43.93,44.21,43.07
06/30/2020,43.9,1451077,43.29,44.11,43.01
06/29/2020,43.24,2339859,42.13,43.39,41.7
06/26/2020,41.78,2049493,42.16,42.37,41.56
06/25/2020,42.46,2057507,41.87,42.5,41.59
06/24/2020,42.51,2456813,43.57,43.66,41.87
06/23/2020,44.08,2428402,44.11,44.36,43.71
06/22/2020,43.58,1548500,42.98,43.66,42.52
06/19/2020,43.24,2590811,44.45,44.68,42.855
06/18/2020,43.82,2148031,44.02,44.57,43.67
06/17/2020,44.45,2157261,44.69,45.06,44.31
06/16/2020,44.52,4130980,45.05,45.16,43.3
06/15/2020,43.32,4044145,40.51,43.4,40.51
06/12/2020,41.96,3539023,42.7,43.16,40.92
06/11/2020,41.23,3434412,42.54,43.06,41.18
06/10/2020,44.61,2278768,45.05,45.25,43.98
06/09/2020,45.15,1769090,45.05,45.46,44.64
06/08/2020,45.69,1590796,46.26,46.71,45.46
06/05/2020,45.6,2536398,45.41,46.06,45.26
06/04/2020,43.98,2176968,44,44.61,43.7
06/03/2020,44.25,2382226,43.54,44.4,43.41
06/02/2020,42.88,1697465,42.56,42.93,42.39
06/01/2020,42.24,1640323,42.16,42.76,41.825
05/29/2020,42.15,2965087,41.8,42.55,41.42
05/28/2020,41.9,4140153,43.76,43.885,41.66
05/27/2020,43.31,2906210,42.52,43.31,41.88
05/26/2020,41.53,3654948,41.4,41.87,41.32
05/22/2020,39.97,1746013,39.68,40.02,39.17
05/21/2020,39.5,1938859,38.8,39.67,38.8
05/20/2020,38.87,1727355,39.24,39.57,38.52
05/19/2020,38.5,2173818,38.83,39.47,38.34
05/18/2020,39,2848110,37.69,39.34,37.69
05/15/2020,36.13,3145010,35.23,36.49,34.97
05/14/2020,35.58,2729781,34.14,35.6,33.49
05/13/2020,34.82,3188223,35.84,35.98,34.4902
05/12/2020,36.06,2243793,37.42,37.64,36.05
05/11/2020,37.35,1824601,37.48,37.75,36.76
05/08/2020,37.94,1640925,37.16,38.07,36.99
05/07/2020,36.51,1761753,36.6,37.04,36.46
05/06/2020,36.1,1544695,36.44,36.66,35.87
05/05/2020,36.24,3208028,35.93,36.71,35.93
05/04/2020,35.54,1770487,34.75,35.61,34.37
05/01/2020,35.37,2442456,35.26,35.65,34.82
04/30/2020,36.05,2631371,36.87,36.87,35.95
04/29/2020,37.56,4532311,36.97,37.84,36.91
04/28/2020,35.73,3887126,35.4,36.13,35.34
04/27/2020,34.4,2840280,32.98,34.54,32.98
04/24/2020,32.66,1949581,32,32.88,31.76
04/23/2020,31.68,1894267,31.57,32.375,31.335
04/22/2020,31.33,1189720,31.57,31.71,31.03
04/21/2020,30.99,1698992,30.96,31.32,30.68
04/20/2020,31.69,2230045,31.89,32.5,31.54
04/17/2020,32.74,2283579,32.67,33.27,32.295
04/16/2020,31.24,1643220,31.42,31.43,30.63
04/15/2020,31.33,3800789,32.11,32.19,31.02
04/14/2020,33.18,1707223,33.07,33.55,32.69
04/13/2020,32.28,2642606,33.54,33.78,31.87
04/09/2020,33.8,2755186,33.38,34.85,33.31
