Date,Close/Last,Volume,Open,High,Low
05/11/2021,20.13,432742,19.22,20.3114,19
05/10/2021,20.41,246059,21.59,21.59,20.22
05/07/2021,21.38,267615,20.84,21.645,20.84
05/06/2021,20.67,184269,21.14,21.14,20.33
05/05/2021,21.15,61304,21.3,21.49,21
05/04/2021,21.16,214878,21.5,21.5,20.6101
05/03/2021,21.6,204028,22.07,22.15,21.5001
04/30/2021,21.77,384008,21.52,22.05,21.5
04/29/2021,21.66,176021,22.01,22.08,21.2834
04/28/2021,21.95,642500,21.43,22.0797,21.05
04/27/2021,21.38,163318,21.63,21.6838,21.21
04/26/2021,21.53,187390,21.28,21.5471,21.115
04/23/2021,21.16,109255,21,21.3152,20.8
04/22/2021,20.74,183168,21.26,21.44,20.5401
04/21/2021,21,209996,20.16,21.17,19.81
04/20/2021,20.21,368499,21.44,21.4722,20
04/19/2021,21.03,310286,21.22,21.8,20.7
04/16/2021,21.45,359703,21.323,21.499,20.88
04/15/2021,21.28,337773,21.59,21.9499,21.12
04/14/2021,21.61,243333,22.02,22.0878,21.5024
04/13/2021,22.11,286389,21.51,22.26,21.51
04/12/2021,21.94,354110,22.82,22.82,21.7
04/09/2021,23.03,241480,22.74,23.08,22.52
04/08/2021,22.89,167474,22.7,22.9962,22.5
04/07/2021,22.68,244184,23.56,23.58,22.6085
04/06/2021,23.5,193188,23.89,23.9275,23.38
04/05/2021,23.98,326789,24.3,24.37,23.79
04/01/2021,23.87,387175,24.16,24.3399,23.75
03/31/2021,23.64,329077,22.81,23.68,22.65
03/30/2021,22.28,393194,22.15,22.45,21.7
03/29/2021,22.47,152353,23.14,23.37,22.3001
03/26/2021,23.07,184765,23.81,23.825,22.6101
03/25/2021,23.33,330655,22.5,23.35,22.37
03/24/2021,23.04,250102,23.86,24.2021,22.9
03/23/2021,23.81,375304,24.54,24.62,23.68
03/22/2021,24.57,271379,25.63,25.63,24.5
03/19/2021,25.16,207256,25.15,25.44,24.83
03/18/2021,25.06,306066,25.93,26.1399,24.9301
03/17/2021,26.11,259311,25.18,26.11,24.83
03/16/2021,25.63,477013,26.86,26.97,25.2838
03/15/2021,26.84,697107,25.85,27,25.85
03/12/2021,25.73,359562,24.69,25.75,24.561
03/11/2021,25.4,461163,24.38,25.45,24.0087
03/10/2021,23.79,431500,24.65,24.8748,23.26
03/09/2021,24.22,358411,23.18,24.29,23
03/08/2021,22.61,292980,23.06,23.73,22.535
03/05/2021,23,924430,23.61,23.7999,21.12
03/04/2021,23.61,753057,24.59,25.1499,22.7901
03/03/2021,25.01,420493,26.19,26.325,24.93
03/02/2021,25.97,356249,26.4,26.87,25.8
03/01/2021,25.95,400676,25.66,26.2,25.59
02/26/2021,25.09,402566,25.1,25.7825,24.51
02/25/2021,25.04,539497,26.99,26.99,24.76
02/24/2021,26.76,532156,26.52,26.8999,26.0601
02/23/2021,25.94,1718045,25.65,26,22.1
02/22/2021,26.81,569315,27.23,27.4661,26.75
02/19/2021,27.69,547041,27.21,27.69,26.905
02/18/2021,26.65,581230,27.9,27.96,26.55
02/17/2021,27.76,869539,28.39,28.41,27.13
02/16/2021,28.52,1578083,27.77,28.6299,27.405
02/12/2021,27.07,1412653,26.35,27.98,25.76
02/11/2021,26.85,3542424,30.48,30.49,26.5
02/10/2021,30.56,2952954,31.67,31.873,28.26
02/09/2021,29,1728282,28.11,29.3,27.9
02/08/2021,27.33,1132555,26.66,27.39,26.5
02/05/2021,26.05,868414,26.2,26.3999,25.67
02/04/2021,25.87,745341,25.67,25.88,25.11
02/03/2021,25.17,1392638,25.29,25.6299,24.909
02/02/2021,23.22,1130607,22.04,23.2399,21.99
02/01/2021,21.59,421491,21.42,21.62,20.9
01/29/2021,21.07,345931,21.31,21.7999,20.7594
01/28/2021,21.44,396777,21.15,21.82,21
01/27/2021,21.25,515724,21.28,21.6399,20.66
01/26/2021,21.79,416933,21.83,22.1099,21.6
01/25/2021,21.48,473006,22.1,22.1808,21.2606
01/22/2021,21.89,330250,21.82,21.99,21.5
01/21/2021,21.94,427652,22.21,22.28,21.61
01/20/2021,22.06,559352,22.26,22.3799,21.8
01/19/2021,22.13,706197,22.23,22.74,21.5
01/15/2021,21.86,1073494,22.76,22.77,21.4
01/14/2021,22.45,1144012,21.92,22.85,21.92
01/13/2021,21.43,866763,20.84,21.5499,20.82
01/12/2021,20.72,773049,20.73,20.99,20.5
01/11/2021,20.65,909532,19.65,20.65,19.5
01/08/2021,19.65,662444,19.85,19.8999,19.27
01/07/2021,19.77,1461577,20.99,22.38,19.26
