FAN: First Trust ISE Global Wind Energy Index Fund,,
Inception Date: 2008-06-16,,
Fund Holdings as of: 2021-05-11,,
Total Assets Under Management (in thousands):	396686,,
Shares Outstanding: 18650000,,
Expense Ratio: 0.62%,,
Tracks This Index: ISE Global Wind Energy Index,,
ETFdb.com Category: Alternative Energy Equities,,
Issuer: First Trust,,
Structure: ETF,,
ETF Home Page: https://etfdb.com/etf/FAN,,
,,
,,
Holding,Symbol,Weighting
Vestas Wind Systems A/S,VWS,8.3%
Northland Power Inc.,NPI,7.49%
"Siemens Gamesa Renewable Energy, S.A.",SGRE,7.07%
Orsted,ORSTED,7.05%
China Longyuan Power Group Corp. Ltd. Class H,916,5.58%
Boralex Inc. Class A,BLX,3.23%
Alliant Energy Corp,LNT,2.58%
Duke Energy Corporation,DUK,2.53%
ABB Ltd.,ABBN,2.41%
SSE plc,SSE,2.29%
Iberdrola SA,IBE,2.25%
Endesa S.A.,ELE,2.24%
General Electric Company,GE,2.18%
Enel SpA,ENEL,2.15%
Innergex Renewable Energy Inc.,INE,2.13%
Nordex SE,NDX1,2.11%
"NextEra Energy, Inc.",NEE,2.11%
ENGIE SA.,ENGI,2.11%
"TransAlta Renewables, Inc.",RNW,2.08%
"Toray Industries, Inc.",3402,2.07%
Prysmian S.p.A.,PRY,2.07%
RWE AG,RWE,2.06%
SKF AB Class B,SKF.B,2.06%
"TPI Composites, Inc.",TPIC,1.93%
EDP-Energias de Portugal SA,EDP,1.93%
AGL Energy Limited,AGL,1.71%
Acciona SA,ANA,1.69%
EQUITY OTHER,Other,1.68%
"Xinjiang Goldwind Science & Technology Co., Ltd. Class H",2208,1.62%
Hexcel Corporation,HXL,1.57%
CS Wind Corp.,112610,1.45%
Gurit Holding AG,GUR,1.1%
"Arcosa, Inc.",ACA,1.09%
Falck Renewables S.p.A.,FKR,0.93%
BKW AG,BKW,0.9%
Terna Energy S.A.,TENERGY,0.9%
China Datang Corp. Renewable Power Co. Ltd. Class H,1798,0.63%
Eolus Vind AB Class B,EOLU.B,0.62%
EnergieKontor AG,EKT,0.51%
"Unison Co., Ltd",18000,0.49%
Concord New Energy Group Limited,182,0.49%
Neoen S.A.,NEOEN,0.46%
PNE AG,PNE3,0.4%
"China High Speed Transmission Equipment Group Co., Ltd.",658,0.36%
Sif Holding N.V.,SIFG,0.27%
China Suntien Green Energy Corporation Limited Class H,956,0.26%
Morgan Stanley Institutional Liquidity Funds treasury Portfolio Institutional,MISXX,0.23%
SGL Carbon SE,SGL,0.18%
Arise AB,ARISE,0.17%
American Superconductor Corporation,AMSC,0.14%
"Broadwind, Inc.",BWEN,0.07%
"Dongkuk Structures & Construction Co., Ltd.",100130,0.07%
U.S. Dollar,Other,0.01%
