FTXL: First Trust Nasdaq Semiconductor ETF,,
Inception Date: 2016-09-21,,
Fund Holdings as of: 2021-05-11,,
Total Assets Under Management (in thousands):	77810,,
Shares Outstanding: 1300000,,
Expense Ratio: 0.6%,,
Tracks This Index: Nasdaq U.S. Smart Semiconductor Index,,
ETFdb.com Category: Technology Equities,,
Issuer: First Trust,,
Structure: ETF,,
ETF Home Page: https://etfdb.com/etf/FTXL,,
,,
,,
Holding,Symbol,Weighting
Texas Instruments Incorporated,TXN,9.06%
Synaptics Incorporated,SYNA,7.88%
"Marvell Technology, Inc.",MRVL,7.8%
"Micron Technology, Inc.",MU,7.51%
"Amkor Technology, Inc.",AMKR,6.81%
"Applied Materials, Inc.",AMAT,4.45%
Lam Research Corporation,LRCX,4.45%
"Entegris, Inc.",ENTG,4.42%
"Qorvo, Inc.",QRVO,4.19%
KLA Corporation,KLAC,4.11%
"Teradyne, Inc.",TER,4.02%
Broadcom Inc.,AVGO,3.99%
ON Semiconductor Corporation,ON,3.93%
Intel Corporation,INTC,3.86%
"Brooks Automation, Inc.",BRKS,1.75%
NXP Semiconductors NV,NXPI,1.67%
NVIDIA Corporation,NVDA,1.65%
Lattice Semiconductor Corporation,LSCC,1.54%
"Analog Devices, Inc.",ADI,1.53%
Microchip Technology Incorporated,MCHP,1.51%
"Skyworks Solutions, Inc.",SWKS,1.49%
Qualcomm Inc,QCOM,1.49%
"Cirrus Logic, Inc.",CRUS,1.46%
"Advanced Micro Devices, Inc.",AMD,1.44%
II-VI Incorporated,IIVI,1.37%
"Monolithic Power Systems, Inc.",MPWR,1.35%
IPG Photonics Corporation,IPGP,1.33%
Silicon Laboratories Inc.,SLAB,1.31%
"Cree, Inc.",CREE,1.3%
"Ambarella, Inc.",AMBA,1.24%
U.S. Dollar,Other,0.08%
