SOXL: Direxion Daily Semiconductor Bull 3x Shares,,
Inception Date: 2010-03-11,,
Fund Holdings as of: 2021-05-11,,
Total Assets Under Management (in thousands):	3915760,,
Shares Outstanding: 123300000,,
Expense Ratio: 0.96%,,
Tracks This Index: PHLX Semiconductor Index (300%),,
ETFdb.com Category: Leveraged Equities,,
Issuer: Rafferty Asset Management,,
Structure: ETF,,
ETF Home Page: https://etfdb.com/etf/SOXL,,
,,
,,
Holding,Symbol,Weighting
Dreyfus Government Cash Management Funds Institutional,DGCXX,20.83%
Texas Instruments Incorporated,TXN,6.96%
NVIDIA Corporation,NVDA,6.83%
Qualcomm Inc,QCOM,6.17%
Broadcom Inc.,AVGO,6.13%
Intel Corporation,INTC,5.93%
ASML Holding NV ADR,ASML,3.48%
NXP Semiconductors NV,NXPI,3.45%
Lam Research Corporation,LRCX,3.42%
"Applied Materials, Inc.",AMAT,3.42%
"Analog Devices, Inc.",ADI,3.17%
KLA Corporation,KLAC,3.16%
"Advanced Micro Devices, Inc.",AMD,2.98%
"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",TSM,2.93%
"Micron Technology, Inc.",MU,2.89%
Microchip Technology Incorporated,MCHP,2.78%
"Marvell Technology, Inc.",MRVL,2.5%
"Skyworks Solutions, Inc.",SWKS,1.95%
Goldman Sachs Trust Financial Square Treasury Instruments Fund Institutional,FTIXX,1.65%
"Teradyne, Inc.",TER,1.44%
"Qorvo, Inc.",QRVO,1.38%
ON Semiconductor Corporation,ON,1.09%
"Entegris, Inc.",ENTG,1.05%
"Monolithic Power Systems, Inc.",MPWR,1.03%
"Cree, Inc.",CREE,0.73%
IPG Photonics Corporation,IPGP,0.72%
"MKS Instruments, Inc.",MKSI,0.68%
"Brooks Automation, Inc.",BRKS,0.48%
II-VI Incorporated,IIVI,0.48%
Lattice Semiconductor Corporation,LSCC,0.45%
Silicon Laboratories Inc.,SLAB,0.4%
"CMC Materials, Inc.",CCMP,0.32%
Goldman Sachs Trust Financial Square Government Fund Institutional,FGTXX,0.32%
MUTUAL FUND (OTHER),Other,0.0%
U.S. Dollar,Other,-1.22%
