TAN: Invesco Solar ETF,,
Inception Date: 2008-04-15,,
Fund Holdings as of: 2021-05-11,,
Total Assets Under Management (in thousands):	2803780,,
Shares Outstanding: 37848000,,
Expense Ratio: 0.69%,,
Tracks This Index: MAC Global Solar Energy Index,,
ETFdb.com Category: Alternative Energy Equities,,
Issuer: Invesco,,
Structure: ETF,,
ETF Home Page: https://etfdb.com/etf/TAN,,
,,
,,
Holding,Symbol,Weighting
"Enphase Energy, Inc.",ENPH,9.61%
"SolarEdge Technologies, Inc.",SEDG,9.29%
Sunrun Inc.,RUN,6.5%
"First Solar, Inc.",FSLR,6.41%
Xinyi Solar Holdings Ltd.,968,5.66%
Daqo New Energy Corp Sponsored ADR,DQ,4.48%
GCL-Poly Energy Holdings Limited,3800,4.12%
iShares MSCI South Korea ETF,EWY,4.05%
Scatec ASA,SCATC,3.44%
Atlantica Sustainable Infrastructure plc,AY,2.84%
Array Technologies Inc,ARRY,2.65%
"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",HASI,2.54%
Canadian Solar Inc.,CSIQ,2.51%
SunPower Corporation,SPWR,2.42%
Encavis AG,ECV,2.35%
Sunnova Energy International Inc,NOVA,2.33%
"Solaria Energia y Medio Ambiente, S.A.",SLR,1.97%
"United Renewable Energy Co., Ltd.",3576,1.89%
"JinkoSolar Holding Co., Ltd. Sponsored ADR",JKS,1.76%
"Clearway Energy, Inc. Class C",CWEN,1.66%
Enlight Renewable Energy Ltd,ENLT,1.57%
SMA Solar Technology AG,S92,1.49%
Xinyi Energy Holdings Limited,3868,1.44%
Meyer Burger Technology AG,MBTN,1.4%
Neoen S.A.,NEOEN,1.31%
"Flat Glass Group Co., Ltd. Class H",6865,1.31%
"RENOVA, Inc.",9519,1.11%
TSEC Corporation,6443,1.04%
"Motech Industries, Inc.",6244,0.89%
Energix-Renewable Energies Ltd.,ENRG,0.86%
West Holdings Corporation,1407,0.79%
Soltec Power Holdings SA,SOL,0.74%
Azure Power Global Ltd.,AZRE,0.71%
Solarpack Corporacion Tecnologica SA,SPK,0.67%
Beijing Enterprises Clean Energy Group Limited,1250,0.6%
DORAL GROUP RENEWABLE ENERGY RESOURCES LTD,DORL,0.58%
Grenergy Renovables S.A,GRE,0.55%
Luoyang Glass Company Limited Class H,1108,0.53%
ReneSola Ltd. Sponsored ADR,SOL,0.47%
Fastned BV Shs Depositary Receipt 1 Shs,FAST,0.46%
Giga Solar Materials Corp.,3691,0.46%
"Maxeon Solar Technologies, Ltd.",MAXN,0.45%
Beam Global,BEEM,0.41%
"Xinte Energy Co., Ltd. Class H",1799,0.4%
Anji Technology Co Ltd,6477,0.4%
GCL New Energy Holdings Limited,451,0.39%
"Sunworks, Inc.",SUNW,0.36%
MUTUAL FUND (OTHER),Other,0.12%
U.S. Dollar,Other,0.0%
