XHB: SPDR S&P Homebuilders ETF,,
Inception Date: 2006-02-06,,
Fund Holdings as of: 2021-05-10,,
Total Assets Under Management (in thousands):	2309320,,
Shares Outstanding: 29100000,,
Expense Ratio: 0.35%,,
Tracks This Index: S&P Homebuilders Select Industry Index,,
ETFdb.com Category: Building & Construction ,,
Issuer: State Street,,
Structure: ETF,,
ETF Home Page: https://etfdb.com/etf/XHB,,
,,
,,
Holding,Symbol,Weighting
RH,RH,4.58%
"Williams-Sonoma, Inc.",WSM,4.4%
"PulteGroup, Inc.",PHM,4.13%
"D.R. Horton, Inc.",DHI,4.11%
"Home Depot, Inc.",HD,3.97%
"Fortune Brands Home & Security, Inc.",FBHS,3.96%
"Lowe\'s Companies, Inc.",LOW,3.91%
Lennar Corporation Class A,LEN,3.9%
Whirlpool Corporation,WHR,3.85%
Owens Corning,OC,3.83%
"Toll Brothers, Inc.",TOL,3.83%
"Mohawk Industries, Inc.",MHK,3.8%
Masco Corporation,MAS,3.75%
"NVR, Inc.",NVR,3.66%
Carrier Global Corp.,CARR,3.64%
Trane Technologies plc,TT,3.62%
"Builders FirstSource, Inc.",BLDR,3.55%
Allegion PLC,ALLE,3.45%
Lennox International Inc.,LII,3.42%
Johnson Controls International plc,JCI,3.38%
"Floor & Decor Holdings, Inc. Class A",FND,3.16%
"Trex Company, Inc.",TREX,2.89%
A. O. Smith Corporation,AOS,2.74%
TopBuild Corp.,BLD,2.41%
Tempur Sealy International Inc,TPX,2.22%
"LGI Homes, Inc.",LGIH,1.61%
"Tri Pointe Homes, Inc.",TPH,1.57%
Taylor Morrison Home Corporation,TMHC,1.33%
"M.D.C. Holdings, Inc.",MDC,1.26%
"Installed Building Products, Inc.",IBP,0.97%
"Century Communities, Inc.",CCS,0.91%
"M/I Homes, Inc.",MHO,0.79%
Skyline Champion Corp.,SKY,0.53%
"Green Brick Partners, Inc.",GRBK,0.49%
"Cavco Industries, Inc.",CVCO,0.28%
State Street Institutional Liquid Reserves Fund,SSIXX,0.1%
