YOLO: AdvisorShares Pure Cannabis ETF,,
Inception Date: 2019-04-17,,
Fund Holdings as of: 2021-05-11,,
Total Assets Under Management (in thousands):	351366,,
Shares Outstanding: 17285000,,
Expense Ratio: 0.75%,,
Tracks This Index: n/a,,
ETFdb.com Category: Small Cap Blend Equities,,
Issuer: AdvisorShares,,
Structure: ETF,,
ETF Home Page: https://etfdb.com/etf/YOLO,,
,,
,,
Holding,Symbol,Weighting
MUTUAL FUND (OTHER),Other,36.17%
"Village Farms International, Inc.",VFF,11.46%
Innovative Industrial Properties Inc,IIPR,9.05%
DERIVATIVE SECURITIES (OTHER),Other,7.66%
Canopy Growth Corporation,WEED,6.44%
"Tilray, Inc.",TLRY,6.26%
GrowGeneration Corp.,GRWG,6.01%
"RIV Capital, Inc. Class A",RIV,2.56%
"Arena Pharmaceuticals, Inc.",ARNA,2.13%
Valens Company Inc,VLNS,1.95%
"Charlotte\'s Web Holdings, Inc.",CWEB,1.76%
"cbdMD, Inc.",YCBD,1.28%
Cardiol Therapeutics Inc. Class A,CRDL,0.81%
"Greenlane Holdings, Inc. Class A",GNLN,0.72%
Intec Pharma Ltd,NTEC,0.55%
Jazz Pharmaceuticals Public Limited Company,JAZZ,0.5%
Cronos Group Inc,CRON,0.49%
"Hempfusion Wellness, Inc.",CBD.USD,0.49%
"Aleafia Health, Inc.",AH,0.43%
Power REIT,PW,0.37%
OrganiGram Holdings Inc,OGI,0.36%
"Neptune Wellness Solutions, Inc.",NEPT,0.35%
Zynerba Pharmaceuticals Inc,ZYNE,0.33%
IM Cannabis Corp,IMCC,0.32%
U.S. Dollar,Other,0.3%
MediPharm Labs Corp.,LABS,0.23%
InterCure Ltd.,INCR,0.22%
Corbus Pharmaceuticals Holdings Inc,CRBP,0.21%
PharmaCielo Ltd.,PCLO,0.15%
"Emerald Health Therapeutics, Inc.",EMH,0.11%
Supreme Cannabis Company Inc,FIRE,0.1%
Khiron Life Sciences Corp.,KHRN,0.09%
Green Organic Dutchman Holdings Ltd.,TGOD,0.07%
"WeedMD, Inc.",WMD,0.06%
